Name,Team,GS,IP,TBF,K%,PlayerId,MLBAMID
"Josh Winder","MIN",11,85.1,369,0.17886179,24606,680739
"Miles Mikolas","STL",58,350,1432,0.17877095,9803,571945
"Zach Davies","ARI",39,191.2,829,0.17852835,13183,605200
"Davis Martin","CHW",9,63.1,269,0.17843866,21448,663436
"Sam Long","- - -",7,85,366,0.17759563,25379,669674
"Sergio Romo","- - -",0,18,79,0.17721519,9817,489265
"Jaime Barria","LAA",7,148,604,0.17715232,18356,642545
"Victor Mederos","LAA",0,3,17,0.17647059,31533,682989
"Jordan Lyles","- - -",55,310.1,1333,0.17629407,7593,543475
"Jacob Lemoine","OAK",0,16.1,74,0.17567568,19785,621082
"Michael Soroka","ATL",5,29.1,131,0.17557252,18383,647336
"Chad Kuhl","- - -",32,175.1,804,0.17537313,14975,641771
"Logan Allen","- - -",0,7.2,40,0.175,18555,663531
"Matt Koch","- - -",0,27.1,103,0.17475728,13420,571863
"Noah Davis","COL",4,19.2,103,0.17475728,25862,663562
"Jesse Scholtens","CHW",5,56.1,229,0.17467249,19205,669947
"J.P. France","HOU",16,102,419,0.17422434,21212,641585
"Tommy Doyle","COL",0,11.1,46,0.17391304,21281,656382
"Frank German","BOS",0,4,23,0.17391304,24750,681464
"Nick Ramirez","NYY",0,33.2,144,0.17361111,12575,598286
"Julio Teheran","MIL",11,62.2,254,0.17322835,6797,527054
"Garrett Crochet","CHW",0,10,52,0.17307692,27463,676979
"Matt Manning","DET",23,121.2,509,0.17288802,20369,666159
"Tyler Alexander","DET",18,145,608,0.17269737,17735,641302
"Spencer Howard","TEX",8,41,197,0.17258883,23252,675921
"Jonathan Loáisiga","NYY",0,54.2,226,0.17256637,19753,642528
"Ryan Sherriff","BOS",0,6.2,29,0.17241379,12249,595411
"Sam Clay","- - -",0,5.1,29,0.17241379,16279,621348
"Francisco Pérez","- - -",0,10.2,58,0.17241379,21018,660906
"J.B. Wendelken","ARI",0,29,122,0.17213115,14506,605525
"Wade Miley","- - -",23,114.2,471,0.17197452,8779,489119
"Dylan Covey","- - -",1,29,128,0.171875,14825,592229
"Anthony Kay","- - -",0,13.1,64,0.171875,20387,641743
"Kyle Hendricks","CHC",32,176.2,739,0.17185386,12049,543294
"Josh Winckowski","BOS",14,134.1,588,0.17176871,22387,670174
"Grant Hartwig","NYM",0,23.2,105,0.17142857,29946,701643
"Heath Hembree","- - -",0,23.1,111,0.17117117,11632,592390
"Taylor Widener","ARI",0,17.1,82,0.17073171,19266,642203
"Tommy Henry","ARI",25,136,586,0.17064846,26285,674072
"Adrian Sampson","CHC",19,104.1,428,0.17056075,13339,592716
"Tyler Rogers","SFG",0,133,552,0.17028986,15541,643511
"Ashton Goudeau","COL",0,20.1,94,0.17021277,15139,623485
"Kirby Snead","OAK",0,50,235,0.17021277,19179,669912
"Zach Logue","- - -",10,68,306,0.16993464,20231,656657
"Luis Frías","ARI",0,34,171,0.16959064,21997,666818
"Zach Plesac","CLE",29,153,673,0.16939079,19979,668676
"Erich Uelmen","- - -",0,28,130,0.16923077,20323,657272
"Bryse Wilson","- - -",20,173,745,0.16912752,19990,669060
"Jhoulys Chacín","COL",0,47.1,219,0.16894977,2608,468504
"Denyi Reyes","- - -",3,19.2,89,0.16853933,20526,660593
"Connor Seabold","- - -",18,100.2,483,0.16770186,19695,657756
"Adrian Houser","MIL",36,186,820,0.16707317,12718,605288
"Mike Minor","CIN",19,98,455,0.16703297,10021,501985
"Jake Reed","- - -",0,17.1,84,0.16666667,16209,596082
"Lane Thomas","WSN",0,1,6,0.16666667,16939,657041
"Junior Fernández","- - -",0,18.2,84,0.16666667,18496,658551
"Jhonathan Diaz","LAA",3,15.1,66,0.16666667,20298,646242
"Braden Bristo","- - -",0,7,30,0.16666667,20494,668754
"Jordan Balazovic","MIN",0,22.1,96,0.16666667,21866,666364
"Robert Garcia","- - -",0,8.2,30,0.16666667,23363,676395
"Patrick Corbin","WSN",55,290,1321,0.1657835,9323,571578
"Zach Thompson","PIT",22,121.2,543,0.16574586,16094,605507
"Spencer Turnbull","DET",7,31,145,0.16551724,16207,605513
"Humberto Castellanos","ARI",9,44.1,194,0.16494845,21183,528748
"Austin Gomber","COL",41,249.2,1069,0.16463985,16561,596295
"Ryan Yarbrough","- - -",16,141.1,602,0.16445183,16502,642232
"Aníbal Sánchez","WSN",14,69.1,292,0.16438356,3284,434671
"Quinn Priester","PIT",6,28.2,140,0.16428571,25977,682990
"Andre Pallante","STL",10,155,664,0.16415663,26108,669467
"Erick Fedde","WSN",27,127,573,0.16404887,17425,607200
"Johnny Cueto","- - -",30,190.2,781,0.16389245,6893,456501
"Tucker Davidson","- - -",11,87.1,409,0.16381418,19871,656353
"Levi Stoudt","CIN",2,10.1,55,0.16363636,25650,686651
"Bruce Zimmermann","BAL",13,85,373,0.16353887,20370,669145
"Kirk McCarty","CLE",2,37.2,159,0.16352201,20555,668948
"José Butto","NYM",3,18.2,92,0.16304348,23313,676130
"Aaron Brooks","STL",0,9.1,43,0.1627907,12272,605156
"Daulton Jefferies","OAK",8,39.1,172,0.1627907,19345,641726
"Evan Lee","WSN",1,8.2,43,0.1627907,24988,681885
"Brad Keller","KCR",31,183,818,0.16259169,15734,641745
"Mason Englert","DET",1,56,253,0.16205534,22288,669438
"Bryan Hoeing","MIA",7,58,253,0.16205534,26304,663773
"Vladimir Gutierrez","CIN",8,36.2,179,0.16201117,19278,661269
"Rob Zastryzny","- - -",0,21,99,0.16161616,15094,642239
"Luis L. Ortiz","PIT",14,69.2,316,0.16139241,27646,682847
"Garrett Hill","DET",8,74,335,0.16119403,25097,682051
"Austin Pruitt","OAK",7,101.2,410,0.16097561,15290,643493
"Tyler Thornburg","- - -",0,19,87,0.16091954,10688,592804
"Beau Brieske","DET",16,96,398,0.16080402,26079,689225
"Ryne Nelson","ARI",27,143.1,610,0.16065574,26253,669194
"Adam Wainwright","STL",47,258.1,1134,0.16049383,2233,425794
"Justin Bruihl","- - -",0,49.1,212,0.16037736,23779,677865
"Travis Lakins Sr.","BAL",0,10.1,50,0.16,18600,664042
"Kenny Rosenberg","LAA",1,15.2,75,0.16,20009,670046
"Justin Martinez","ARI",0,3.1,25,0.16,24453,679885
"Noah Syndergaard","- - -",39,207,883,0.1596829,11762,592789
"Kyle Freeland","COL",54,298.2,1306,0.15926493,16256,607536
"Tommy Romero","- - -",2,8.1,44,0.15909091,23465,676720
"Chris Flexen","- - -",30,199.1,881,0.15891033,13896,623167
"Graham Ashcraft","CIN",42,232,1014,0.15877712,27552,668933
"Cody Bolton","PIT",0,11,63,0.15873016,23265,675989
"Dylan Bundy","MIN",29,140,595,0.15798319,12917,605164
"Luke Barker","MIL",0,4,19,0.15789474,19609,673316
"A.J. Alexy","TEX",0,7,38,0.15789474,22343,669935
"Domingo Tapia","- - -",0,34.2,165,0.15757576,12178,593619
"Dillon Peters","PIT",4,39.1,165,0.15757576,18790,596071
"Joe Jacques","BOS",1,20,89,0.15730337,25178,682175
"Caleb Kilian","CHC",4,16.2,89,0.15730337,26213,668873
"Matthew Liberatore","STL",17,80.1,369,0.15718157,22294,669461
"Amos Willingham","WSN",0,14,70,0.15714286,26128,686294
"Kyle Muller","- - -",14,64.1,312,0.15705128,20167,666205
"Garrett Acton","OAK",0,5.2,32,0.15625,27583,670183
"Erasmo Ramírez","- - -",3,125.2,527,0.15559772,10314,541640
"Ryan Weathers","- - -",11,52,238,0.15546218,23796,677960
"Miguel Sánchez","MIL",0,13.1,58,0.15517241,20074,667376
"Justin Grimm","OAK",0,15.1,71,0.15492958,11720,518748
"Madison Bumgarner","ARI",34,175.1,788,0.15482234,5524,518516
"Aaron Sanchez","- - -",10,60,265,0.15471698,11490,592717
"Adonis Medina","NYM",0,23.2,110,0.15454545,19903,658431
"Cal Quantrill","CLE",45,253.1,1077,0.15413185,19312,615698
"Shane Greene","- - -",0,3,13,0.15384615,10756,572888
"Michael A. Taylor","KCR",0,2,13,0.15384615,11489,572191
"R.J. Alvarez","NYM",0,2.1,13,0.15384615,13401,571439
"Connor Sadzeck","MIL",0,3,13,0.15384615,13483,592712
"Vinny Nittoli","- - -",0,3.2,13,0.15384615,16754,657697
"Jesus Cruz","ATL",0,8.2,39,0.15384615,20042,672911
"Eduard Bazardo","- - -",0,18.2,78,0.15384615,20997,660825
"Reiss Knehr","SDP",2,19.1,91,0.15384615,21541,663753
"Keaton Winn","SFG",2,22,91,0.15384615,23499,676775
"Jake McGee","- - -",0,37,163,0.15337423,7550,459429
"Justin Dunn","CIN",7,31,138,0.15217391,19268,643290
"Chi Chi González","- - -",5,25.2,112,0.15178571,14663,592346
"Alan Busenitz","CIN",0,4,20,0.15,15239,641427
"Nick Neidert","MIA",1,5,20,0.15,18699,663734
"Logan Gillaspie","BAL",0,26.1,120,0.15,22461,670810
"Randy Vásquez","NYY",3,19,80,0.15,24719,681190
"Cole Waites","SFG",0,8,40,0.15,25665,686972
"Jonathan Heasley","KCR",21,119,528,0.14962121,22224,669169
"Luis Cessa","CIN",16,106.2,468,0.14957265,13345,570666
"Scott Alexander","SFG",10,53.2,214,0.14953271,10591,518397
"Hunter Gaddis","CLE",8,38.2,174,0.14942529,25636,683769
"Devin Smeltzer","- - -",13,89,370,0.14864865,19487,656970
"Jerad Eickhoff","PIT",1,4.1,27,0.14814815,12664,595191
"Bryan Hudson","LAD",0,5.2,27,0.14814815,19924,663542
"Alex Colomé","- - -",0,50,230,0.14782609,6661,517008
"Xzavion Curry","CLE",7,78.1,332,0.14759036,25595,675540
"Drew Steckenrider","SEA",0,14.1,68,0.14705882,18806,608716
"Drew Hutchison","DET",18,105.1,464,0.14655172,10732,571800
"Yonny Chirinos","- - -",9,88,378,0.14550265,16401,630023
"Austin Warren","LAA",0,17.2,76,0.14473684,24937,681810
"Jason Alexander","MIL",11,71.2,321,0.14330218,19666,669920
"Tyler Clippard","WSN",0,5,28,0.14285714,5640,461325
"Jackie Bradley Jr.","BOS",0,1,7,0.14285714,12984,598265
"Chris Mazza","TBR",0,5.1,35,0.14285714,14151,607391
"Hyun Jin Ryu","TOR",9,41,168,0.14285714,14444,547943
"Yacksel Ríos","OAK",0,1.2,14,0.14285714,15007,605441
"Matt Beaty","SFG",0,1,7,0.14285714,17710,607461
"Enoli Paredes","HOU",0,3,14,0.14285714,20447,660600
"Kyle Tyler","SDP",0,4,14,0.14285714,22092,667725
"Francisco Morales","PHI",0,5,21,0.14285714,22913,672839
"Jacob Lopez","TBR",0,3,14,0.14285714,25098,682052
"Collin Snider","KCR",0,39,176,0.14204545,23307,676092
"Mark Melancon","ARI",0,56,247,0.1417004,4264,453343
"Robert Gsellman","CHC",0,15.1,64,0.140625,13696,607229
"Tyson Miller","- - -",2,24,114,0.14035088,19976,668338
"Manuel Rodríguez","CHC",0,13.2,57,0.14035088,20794,655889
"Spenser Watkins","- - -",21,109.2,480,0.13958333,17489,657093
"Zack Greinke","KCR",48,247.2,1047,0.13944604,1943,425844
"Joe Smith","MIN",0,27.1,122,0.13934426,3281,501925
"Casey Lawrence","TOR",0,18,79,0.13924051,11121,596271
"Matt Carasiti","COL",0,21.2,101,0.13861386,13276,571539
"Josh Fleming","TBR",6,86.2,390,0.13846154,20418,676596
"Brandon Walter","BOS",0,14.2,65,0.13846154,26056,687888
"Brett Kennedy","CIN",1,7,29,0.13793103,17877,664028
"Ronald Bolaños","KCR",0,18.1,87,0.13793103,20041,671790
"Marco Gonzales","SEA",42,233,998,0.13727455,15467,594835
"Justus Sheffield","SEA",1,11.2,51,0.1372549,17285,656954
"José Ureña","- - -",22,115.1,525,0.13714286,11589,570632
"Tyler Beede","- - -",5,61.1,285,0.13684211,16981,595881
"Luis Patiño","TBR",6,24,117,0.13675214,22815,672715
"Daniel Castano","MIA",7,36.2,162,0.13580247,19805,641447
"Richard Bleier","- - -",1,81.1,354,0.13559322,7803,542947
"Luke Bard","- - -",0,15,59,0.13559322,14288,572703
"Dakota Hudson","STL",30,177.2,760,0.13552632,19206,641712
"Adam Oller","OAK",15,94,438,0.1347032,20132,670124
"Miguel Yajure","PIT",1,24.1,119,0.13445378,21111,664337
"Javy Guerra","- - -",2,37.1,179,0.13407821,17292,642770
"Nick Wittgren","- - -",0,58,262,0.13358779,15594,621295
"Kyle Leahy","STL",0,1.2,15,0.13333333,24763,681517
"Dallas Keuchel","- - -",16,67.1,339,0.13274336,9434,572971
"Tim Hill","SDP",0,90.2,385,0.13246753,16814,657612
"Jake Woodford","STL",7,88,370,0.13243243,18674,663765
"Reed Garrett","- - -",0,19,99,0.13131313,16866,657585
"Adam Kolarek","- - -",0,19,84,0.13095238,10843,592473
"Antonio Senzatela","COL",21,100,443,0.13092551,15488,622608
"Matt Peacock","- - -",0,10,46,0.13043478,20339,676840
"Michael Pineda","DET",11,46.2,200,0.13,5372,501381
"John King","- - -",0,73.2,316,0.12974684,22051,667463
"Angel De Jesus","DET",0,12.2,54,0.12962963,22323,669804
"Kohei Arihara","TEX",4,20,108,0.12962963,27505,685503
"Jared Shuster","ATL",9,45,193,0.12953368,27472,694363
"Connor Overton","CIN",7,44,179,0.12849162,18376,656818
"Bennett Sousa","- - -",0,23,110,0.12727273,21345,656986
"Rico Garcia","- - -",0,19.2,95,0.12631579,20023,670329
"Pedro Báez","HOU",0,2.1,16,0.125,5420,520980
"Alex Claudio","- - -",0,3.2,16,0.125,12890,592222
"Luis Perdomo","MIL",0,23.2,96,0.125,14682,606131
"Mark Appel","PHI",0,10.1,40,0.125,14823,571446
"Foster Griffin","- - -",0,6.1,32,0.125,16432,656492
"Jordan Sheffield","COL",0,2,8,0.125,19682,642068
"Jake Fishman","MIA",0,11,48,0.125,20060,670288
"Matthew Batten","SDP",0,2,8,0.125,20157,676946
"Jose A. Ferrer","WSN",0,17.2,72,0.125,24017,678606
"Lyon Richardson","CIN",1,3,16,0.125,24581,680689
"Jared Koenig","OAK",5,39.1,177,0.12429379,27517,657649
"Ty Blach","COL",6,81.1,355,0.12394366,14361,621389
"Jacob Barnes","- - -",0,22.1,97,0.12371134,12323,606930
"Blake Taylor","HOU",0,16,75,0.12,16418,642130
"Deivi García","NYY",0,5.2,25,0.12,20276,665620
"Slade Cecconi","ARI",1,6.1,25,0.12,27500,677944
"Kevin Herget","- - -",0,29,126,0.11904762,15369,643361
"Spencer Patton","- - -",0,12.1,51,0.11764706,12361,607359
"Colten Brewer","NYY",0,8.1,34,0.11764706,12997,605155
"Patrick Murphy","WSN",0,5.2,34,0.11764706,19712,641907
"Cristofer Ogando","TBR",0,4.1,17,0.11764706,20667,642657
"Gus Varland","MIL",0,8.2,51,0.11764706,24737,681402
"Alec Mills","- - -",2,18.2,94,0.11702128,13834,621219
"T.J. McFarland","- - -",0,34.1,156,0.11538462,3237,519008
"Aaron Fletcher","PIT",0,11.2,52,0.11538462,22052,667465
"Gavin Stone","LAD",3,12,71,0.11267606,27792,694813
"James Naile","STL",0,20,98,0.1122449,18186,664942
"Robbie Erlin","LAD",0,2,9,0.11111111,10354,572362
"Sean Nolin","MIA",0,3,18,0.11111111,11341,543594
"Ralph Garza Jr.","TBR",0,35,153,0.11111111,17682,621248
"Kyle Dowdy","CIN",0,6.1,27,0.11111111,19285,664871
"Devin Sweet","SEA",0,2,9,0.11111111,25348,682967
"Phillip Diehl","CIN",0,5.2,28,0.10714286,20030,670426
"Josh Rogers","WSN",3,26.1,113,0.10619469,18510,642028
"Matt Waldron","SDP",1,4.2,19,0.10526316,25550,663362
"Dylan Dodd","ATL",5,24.1,114,0.10526316,29928,689266
"Dereck Rodríguez","- - -",0,11,48,0.10416667,14509,605446
"Juan Then","SEA",0,11,48,0.10416667,22828,672730
"Arodys Vizcaíno","KCR",0,5.2,29,0.10344828,5498,527055
"Ryan Weber","NYY",0,25,97,0.10309278,10160,543901
"Jake Hager","ARI",0,2.1,10,0.1,12198,606993
"Alan Trejo","COL",0,2,10,0.1,20056,676701
"Hobie Harris","WSN",0,19.1,91,0.0989011,18615,665048
"Emerson Hancock","SEA",2,10,41,0.09756098,27470,676106
"Zach Muckenhirn","NYM",0,6,31,0.09677419,20209,669105
"McKinley Moore","PHI",0,3.1,21,0.0952381,25663,686842
"David McKay","- - -",0,6.2,32,0.09375,19814,641853
"Jackson Tetreault","WSN",4,21,96,0.09375,20565,676194
"Ryan Castellani","OAK",0,2.2,11,0.09090909,16377,624418
"José Castillo","SDP",0,1.1,11,0.09090909,17169,620454
"Nate Fisher","NYM",0,3,11,0.09090909,25512,688010
"Peter Solomon","ARI",0,13.1,67,0.08955224,20476,656981
"Casey Mize","DET",2,10,45,0.08888889,20492,663554
"Gerardo Reyes","LAA",0,8.2,46,0.08695652,16306,622103
"Yadier Molina","STL",0,2,12,0.08333333,7007,425877
"Matt Dermody","- - -",1,5,24,0.08333333,14844,571616
"Sam Howard","PIT",0,2,12,0.08333333,16265,607572
"José Rodríguez","SEA",0,3,12,0.08333333,17860,642578
"Easton McGee","- - -",1,9.2,36,0.08333333,22176,668834
"Eduardo Salazar","CIN",0,12.1,61,0.08196721,23135,674285
"Karl Kauffmann","COL",3,21.2,99,0.08080808,27488,666154
"Chris Ellis","BAL",2,4.1,25,0.08,16125,595939
"T.J. Zeuch","CIN",3,10.2,64,0.078125,19269,643615
"Josh Rojas","ARI",0,2,13,0.07692308,19734,668942
"Alec Burleson","STL",0,1.2,13,0.07692308,27615,676475
"Andrew Suárez","STL",0,8.2,40,0.075,18300,605498
"Tommy Milone","SEA",2,25.2,109,0.0733945,7608,543548
"Angel Zerpa","KCR",2,20.1,85,0.07058824,22717,672582
"Jace Peterson","- - -",0,3,15,0.06666667,12325,607054
"Tanner Tully","CLE",0,6,30,0.06666667,19518,668684
"Diego Castillo","PIT",0,2,15,0.06666667,19906,660636
"James McArthur","KCR",0,6,31,0.06451613,21527,663704
"Drew Rucinski","OAK",4,18,95,0.06315789,12499,607968
"Fernando Abad","COL",0,6.1,32,0.0625,4994,472551
"Isiah Kiner-Falefa","NYY",0,4,16,0.0625,16512,643396
"Josh Harrison","- - -",0,4.2,33,0.06060606,8202,543281
"Jacob Stallings","MIA",0,4,18,0.05555556,13723,607732
"Garrett Stubbs","PHI",0,3.2,18,0.05555556,18067,596117
"Luke Raley","TBR",0,2.2,19,0.05263158,19354,670042
"Matt Krook","NYY",0,3,20,0.05,19315,640454
"Jackson Wolf","SDP",1,5,22,0.04545455,29832,680232
"Christian Bethancourt","- - -",0,4.1,23,0.04347826,10028,542194
"Oliver Pérez","ARI",0,4,24,0.04166667,1514,424144
"Zack Short","DET",0,5,24,0.04166667,19562,670097
"Kody Clemens","- - -",0,9.2,48,0.04166667,20572,665019
"Zac Lowther","BAL",0,5.1,28,0.03571429,20243,675912
"Jeff Lindgren","MIA",0,7,28,0.03571429,25830,689167
"Harold Castro","- - -",0,6,29,0.03448276,14691,605612
"Hanser Alberto","- - -",0,12.2,59,0.03389831,11902,593643
"Albert Pujols","STL",0,1,7,0,1177,405395
"Charlie Culberson","TEX",0,2,8,0,3298,518586
"Josh Donaldson","NYY",0,1,3,0,5038,518626
"Sandy León","- - -",0,3,11,0,5273,506702
"Brandon Crawford","SFG",0,1,5,0,5343,543063
"Eduardo Escobar","LAA",0,1,5,0,6153,500871
"Alcides Escobar","WSN",0,1.2,10,0,6310,444876
"Miguel Rojas","LAD",0,1,6,0,7802,500743
"Dee Strange-Gordon","WSN",0,1,8,0,8203,543829
"César Valdez","LAA",0,1,5,0,9013,491624
"Darin Ruf","NYM",0,2,7,0,9929,573131
"Chris Owings","- - -",0,2,11,0,10030,572008
"Wil Myers","SDP",0,3.2,16,0,10047,571976
"Tucker Barnhart","- - -",0,5,24,0,10200,571466
"Randal Grichuk","COL",0,1,3,0,10243,545341
"Carlos Pérez","OAK",0,1.2,10,0,10642,542208
"Corey Dickerson","STL",0,1,6,0,10762,572816
"Andrelton Simmons","CHC",0,1,9,0,10847,592743
"Phil Gosselin","LAA",0,1,3,0,10953,594838
"Whit Merrifield","TOR",0,1,6,0,11281,593160
"Yolmer Sánchez","BOS",0,1,6,0,11602,570560
"Brad Miller","TEX",0,2,9,0,12775,543543
"James McCann","BAL",0,1,5,0,12859,543510
"Orlando Arcia","ATL",0,1,4,0,13185,606115
"Ildemaro Vargas","WSN",0,2,6,0,13324,545121
"Jake Lamb","LAA",0,1,4,0,13329,571875
"Luke Maile","CIN",0,4.1,25,0,13355,571912
"Carson Kelly","ARI",0,6.2,36,0,13620,608348
"Matt Reynolds","CIN",0,1.1,9,0,13788,608703
"Kevin Plawecki","BOS",0,1,4,0,13807,608700
"Matt Duffy","KCR",0,1,4,0,13836,622110
"Brett Phillips","- - -",0,4.1,25,0,14735,621433
"Yu Chang","TBR",0,2,11,0,14773,644374
"Victor Caratini","MIL",0,1,7,0,14968,605170
"Hunter Dozier","KCR",0,1,6,0,15117,641531
"Josh VanMeter","PIT",0,3,27,0,15170,642165
"Chad Pinder","OAK",0,1,7,0,15191,640461
"Brandon Dixon","SDP",0,1,3,0,15214,641525
"Austin Wynns","SFG",0,2,10,0,15271,642851
"Frank Schwindel","CHC",0,3,18,0,15351,643524
"Jack Mayfield","LAA",0,1,4,0,15402,608686
"Mike Ford","- - -",0,3,17,0,15585,645801
"Willians Astudillo","MIA",0,2,7,0,15608,553902
"Reese McGuire","BOS",0,1,3,0,15674,624512
"Luis Torrens","SEA",0,2,10,0,15905,620443
"A.J. Ladwig","MIA",0,3.1,15,0,16266,607609
"Nick Gordon","MIN",0,3.2,25,0,16337,624503
"Pablo Reyes","- - -",0,3,16,0,16357,622569
"Jordan Luplow","MIN",0,1,5,0,16424,656669
"Luis Guillorme","NYM",0,1,4,0,16451,641645
"Jason Vosler","CIN",0,2,11,0,16686,613564
"Jose Herrera","ARI",0,1,7,0,17040,645444
"Willi Castro","MIN",0,1.1,4,0,17338,650489
"Max Schrock","CIN",0,1,10,0,17750,621011
"Danny Mendick","NYM",0,2,15,0,18889,664901
"Donovan Walton","SFG",0,1,7,0,19314,622268
"Nicky Lopez","- - -",0,2,10,0,19339,670032
"Zach McKinstry","DET",0,1,6,0,19392,656716
"Brian Serven","COL",0,1,3,0,19422,661531
"Yonny Hernández","LAD",0,1,4,0,19432,660634
"Shaun Anderson","TOR",0,1,7,0,19453,641312
"Sheldon Neuse","OAK",0,3.2,12,0,19635,641914
"Mike Brosseau","MIL",0,5.1,22,0,19683,670712
"René Pinto","TBR",0,1,8,0,19859,650907
"Ryan McKenna","BAL",0,2.1,16,0,19928,663630
"Luke Williams","LAD",0,1,3,0,19931,663897
"Bligh Madris","HOU",0,1,4,0,20054,676632
"Luis González","SFG",0,6.1,30,0,20332,670768
"Ernie Clement","- - -",0,3,18,0,20352,676391
"Alejo Lopez","CIN",0,2.2,10,0,21127,664670
"Nick Maton","PHI",0,1.1,8,0,21635,665155
"Jake Wong","CIN",0,3,15,0,23095,673858
"Ricky Karcher","CIN",0,1,4,0,23449,676689
"Nick Snyder","TEX",0,1,7,0,23493,676766
"David Villar","SFG",0,1,3,0,24782,681584
"David Fry","CLE",0,1,3,0,24934,681807
"Blair Calvo","COL",0,1,3,0,25416,663971
"Randy Wynne","CIN",0,2.1,11,0,25804,691094
"Brett Wisely","SFG",0,1,4,0,27735,689172