Name,Handedness,Team,Opponent,Date,RGID
Spencer Strider,R,ATL,NYM,5/1/23,
Denyi Reyes,R,NYM,ATL,5/1/23,
Charlie Morton,R,ATL,NYM,5/1/23,
Tylor Megill,R,NYM,ATL,5/1/23,
Cal Quantrill,R,CLE,NYY,5/1/23,
Domingo German,R,NYY,CLE,5/1/23,
Drew Smyly,L,CHC,WAS,5/1/23,
MacKenzie Gore,L,WAS,CHC,5/1/23,
Jose Berrios,R,TOR,BOS,5/1/23,
Corey Kluber,R,BOS,TOR,5/1/23,
Ross Stripling,R,SFG,HOU,5/1/23,
Luis Garcia,R,HOU,SFG,5/1/23,
Luke Weaver,R,CIN,SDP,5/1/23,
Blake Snell,L,SDP,CIN,5/1/23,
Taijuan Walker,R,PHI,LAD,5/1/23,
Tony Gonsolin,R,LAD,PHI,5/1/23,
Bryce Elder,R,ATL,MIA,5/2/23,
Sandy Alcantara,R,MIA,ATL,5/2/23,
Roansy Contreras,R,PIT,TBR,5/2/23,
Javy Guerra,R,TBR,PIT,5/2/23,
Josh Fleming,L,NYM,DET,5/2/23,
Joey Lucchesi,L,DET,NYM,5/2/23,
Michael Lorenzen,R,CHC,WAS,5/2/23,
Hayden Wesneski,R,WAS,CHC,5/2/23,
Trevor Williams,R,CLE,NYY,5/2/23,
Tanner Bibee,R,NYY,CLE,5/2/23,
Gerrit Cole,R,TOR,BOS,5/2/23,
Yusei Kikuchi,L,BOS,TOR,5/2/23,
Tanner Houck,R,MIN,CHW,5/2/23,
Joe Ryan,R,CHW,MIN,5/2/23,
Michael Kopech,R,BAL,KCR,5/2/23,
Tyler Wells,R,KCR,BAL,5/2/23,
Ryan Yarbrough,L,LAA,STL,5/2/23,
Patrick Sandoval,L,STL,LAA,5/2/23,
Steven Matz,L,ARI,TEX,5/2/23,
Zac Gallen,R,TEX,ARI,5/2/23,
Jon Gray,R,SFG,HOU,5/2/23,
Anthony DeSclafani,R,HOU,SFG,5/2/23,
Hunter Brown,R,MIL,COL,5/2/23,
Freddy Peralta,R,COL,MIL,5/2/23,
Ryan Feltner,R,SEA,OAK,5/2/23,
Bryce Miller,R,OAK,SEA,5/2/23,
Mason Miller,R,CIN,SDP,5/2/23,
Graham Ashcraft,R,SDP,CIN,5/2/23,
Michael Wacha,R,PHI,LAD,5/2/23,
Matt Strahm,L,LAD,PHI,5/2/23,
Joey Lucchesi,L,NYM,DET,5/3/23,
Joey Wentz,L,DET,NYM,5/3/23,
Brandon Pfaadt,R,ARI,TEX,5/3/23,
Andrew Heaney,L,TEX,ARI,5/3/23,
Logan Webb,R,SFG,HOU,5/3/23,
Framber Valdez,L,HOU,SFG,5/3/23,
Aaron Nola,R,PHI,LAD,5/3/23,
Gavin Stone,R,LAD,PHI,5/3/23,
Luis Cessa,R,CIN,SDP,5/3/23,
Seth Lugo,R,SDP,CIN,5/3/23,
Mitch Keller,R,PIT,TBR,5/3/23,
Shane McClanahan,L,TBR,PIT,5/3/23,
Max Scherzer,R,NYM,DET,5/3/23,
Michael Lorenzen,R,DET,NYM,5/3/23,
Kyle Wright,R,ATL,MIA,5/3/23,
Braxton Garrett,L,MIA,ATL,5/3/23,
Marcus Stroman,R,CHC,WAS,5/3/23,
Jake Irvin,R,WAS,CHC,5/3/23,
Shane Bieber,R,CLE,NYY,5/3/23,
Clarke Schmidt,R,NYY,CLE,5/3/23,
Alek Manoah,R,TOR,BOS,5/3/23,
Nick Pivetta,R,BOS,TOR,5/3/23,
Louie Varland,R,MIN,CHW,5/3/23,
Dylan Cease,R,CHW,MIN,5/3/23,
Kyle Gibson,R,BAL,KCR,5/3/23,
Zack Greinke,R,KCR,BAL,5/3/23,
Shohei Ohtani,R,LAA,STL,5/3/23,
Miles Mikolas,R,STL,LAA,5/3/23,
Eric Lauer,L,MIL,COL,5/3/23,
Kyle Freeland,L,COL,MIL,5/3/23,
Logan Gilbert,R,SEA,OAK,5/3/23,
JP Sears,L,OAK,SEA,5/3/23,
Jameson Taillon,R,CHC,WAS,5/4/23,
Patrick Corbin,L,WAS,CHC,5/4/23,
Justin Verlander,R,NYM,DET,5/4/23,
Eduardo Rodriguez,L,DET,NYM,5/4/23,
Vince Velasquez,R,PIT,TBR,5/4/23,
Zach Eflin,R,TBR,PIT,5/4/23,
Griffin Canning,R,LAA,STL,5/4/23,
Jack Flaherty,R,STL,LAA,5/4/23,
Grayson Rodriguez,R,BAL,KCR,5/4/23,
Jordan Lyles,R,KCR,BAL,5/4/23,
Pablo Lopez,R,MIN,CHW,5/4/23,
Lucas Giolito,R,CHW,MIN,5/4/23,
Wade Miley,L,MIL,COL,5/4/23,
Connor Seabold,R,COL,MIL,5/4/23,
George Kirby,R,SEA,OAK,5/4/23,
Drew Rucinski,R,OAK,SEA,5/4/23,
Dylan Dodd,L,ATL,MIA,5/4/23,
Jesus Luzardo,L,MIA,ATL,5/4/23,
Kevin Gausman,R,TOR,BOS,5/4/23,
Brayan Bello,R,BOS,TOR,5/4/23,
Edward Cabrera,R,MIA,CHC,5/5/23,
Justin Steele,L,CHC,MIA,5/5/23,
Chris Bassitt,R,TOR,PIT,5/5/23,
Rich Hill,L,PIT,TOR,5/5/23,
Lance Lynn,R,CHW,CIN,5/5/23,
Hunter Greene,R,CIN,CHW,5/5/23,
Jhony Brito,R,NYY,TBR,5/5/23,
Yonny Chirinos,R,TBR,NYY,5/5/23,
Chris Sale,L,BOS,PHI,5/5/23,
Zack Wheeler,R,PHI,BOS,5/5/23,
Bailey Ober,R,MIN,CLE,5/5/23,
Peyton Battenfield,R,CLE,MIN,5/5/23,
Antonio Senzatela,R,COL,NYM,5/5/23,
Kodai Senga,R,NYM,COL,5/5/23,
Dean Kremer,R,BAL,ATL,5/5/23,
Max Fried,L,ATL,BAL,5/5/23,
Kyle Muller,L,OAK,KCR,5/5/23,
Brad Keller,R,KCR,OAK,5/5/23,
Matt Boyd,L,DET,STL,5/5/23,
Jordan Montgomery,L,STL,DET,5/5/23,
Dane Dunning,R,TEX,LAA,5/5/23,
Tyler Anderson,L,LAA,TEX,5/5/23,
Clayton Kershaw,L,LAD,SDP,5/5/23,
Yu Darvish,R,SDP,LAD,5/5/23,
Josiah Gray,R,WAS,ARI,5/5/23,
Merrill Kelly,R,ARI,WAS,5/5/23,
Cristian Javier,R,HOU,SEA,5/5/23,
Luis Castillo,R,SEA,HOU,5/5/23,
Corbin Burnes,R,MIL,SFG,5/5/23,
Sean Manaea,L,SFG,MIL,5/5/23,
Spencer Turnbull,R,DET,STL,5/6/23,
Adam Wainwright,R,STL,DET,5/6/23,
Bryan Hoeing,R,MIA,CHC,5/6/23,
Drew Smyly,L,CHC,MIA,5/6/23,
Austin Gomber,L,COL,NYM,5/6/23,
Tylor Megill,R,NYM,COL,5/6/23,
Domingo German,R,NYY,TBR,5/6/23,
Drew Rasmussen,R,TBR,NYY,5/6/23,
Sonny Gray,R,MIN,CLE,5/6/23,
Logan Allen,L,CLE,MIN,5/6/23,
Jose Berrios,R,TOR,PIT,5/6/23,
Johan Oviedo,R,PIT,TOR,5/6/23,
Mike Clevinger,R,CHW,CIN,5/6/23,
Nick Lodolo,L,CIN,CHW,5/6/23,
Ken Waldichuk,L,OAK,KCR,5/6/23,
Brady Singer,R,KCR,OAK,5/6/23,
Kyle Bradish,R,BAL,ATL,5/6/23,
Spencer Strider,R,ATL,BAL,5/6/23,
Corey Kluber,R,BOS,PHI,5/6/23,
Bailey Falter,L,PHI,BOS,5/6/23,
Colin Rea,R,MIL,SFG,5/6/23,
Alex Cobb,R,SFG,MIL,5/6/23,
MacKenzie Gore,L,WAS,ARI,5/6/23,
Tommy Henry,L,ARI,WAS,5/6/23,
Dustin May,R,LAD,SDP,5/6/23,
Blake Snell,L,SDP,LAD,5/6/23,
Nathan Eovaldi,R,TEX,LAA,5/6/23,
Reid Detmers,L,LAA,TEX,5/6/23,
J.P. France,R,HOU,SEA,5/6/23,
Marco Gonzales,L,SEA,HOU,5/6/23,
Tyler Wells,R,BAL,ATL,5/7/23,
Bryce Elder,R,ATL,BAL,5/7/23,
Tanner Houck,R,BOS,PHI,5/7/23,
Taijuan Walker,R,PHI,BOS,5/7/23,
Yusei Kikuchi,L,TOR,PIT,5/7/23,
Roansy Contreras,R,PIT,TOR,5/7/23,
Gerrit Cole,R,NYY,TBR,5/7/23,
Javy Guerra,R,TBR,NYY,5/7/23,
Josh Fleming,L,COL,NYM,5/7/23,
Ryan Feltner,R,NYM,COL,5/7/23,
Joey Lucchesi,L,MIN,CLE,5/7/23,
Joe Ryan,R,CLE,MIN,5/7/23,
Cal Quantrill,R,OAK,KCR,5/7/23,
Mason Miller,R,KCR,OAK,5/7/23,
Ryan Yarbrough,L,DET,STL,5/7/23,
Alex Faedo,R,STL,DET,5/7/23,
Steven Matz,L,MIA,CHC,5/7/23,
Sandy Alcantara,R,CHC,MIA,5/7/23,
Hayden Wesneski,R,MIL,SFG,5/7/23,
Adrian Houser,R,SFG,MIL,5/7/23,
Ross Stripling,R,TEX,LAA,5/7/23,
Martin Perez,L,LAA,TEX,5/7/23,
Jose Suarez,L,HOU,SEA,5/7/23,
Brandon Bielak,R,SEA,HOU,5/7/23,
Bryce Miller,R,CHW,CIN,5/7/23,
Michael Kopech,R,CIN,CHW,5/7/23,
Graham Ashcraft,R,WAS,ARI,5/7/23,
Trevor Williams,R,ARI,WAS,5/7/23,
Ryne Nelson,R,LAD,SDP,5/7/23,
Julio Urias,L,SDP,LAD,5/7/23,
Joey Wentz,L,DET,CLE,5/8/23,
Tanner Bibee,R,CLE,DET,5/8/23,
Shane McClanahan,L,TBR,BAL,5/8/23,
Kyle Gibson,R,BAL,TBR,5/8/23,
Kyle Freeland,L,COL,PIT,5/8/23,
Mitch Keller,R,PIT,COL,5/8/23,
JP Sears,L,OAK,NYY,5/8/23,
Nestor Cortes,L,NYY,OAK,5/8/23,
Miles Mikolas,R,STL,CHC,5/8/23,
Marcus Stroman,R,CHC,STL,5/8/23,
Tony Gonsolin,R,LAD,MIL,5/8/23,
Freddy Peralta,R,MIL,LAD,5/8/23,
Dylan Cease,R,CHW,KCR,5/8/23,
Zack Greinke,R,KCR,CHW,5/8/23,
Hunter Brown,R,HOU,LAA,5/8/23,
Patrick Sandoval,L,LAA,HOU,5/8/23,
Jon Gray,R,TEX,SEA,5/8/23,
Logan Gilbert,R,SEA,TEX,5/8/23,
Braxton Garrett,L,MIA,ARI,5/8/23,
Zac Gallen,R,ARI,MIA,5/8/23,
Jake Irvin,R,WAS,SFG,5/8/23,
Anthony DeSclafani,R,SFG,WAS,5/8/23,
Michael Lorenzen,R,DET,CLE,5/9/23,
Shane Bieber,R,CLE,DET,5/9/23,
Connor Seabold,R,COL,PIT,5/9/23,
Luis Ortiz,R,PIT,COL,5/9/23,
Zach Eflin,R,TBR,BAL,5/9/23,
Grayson Rodriguez,R,BAL,TBR,5/9/23,
Max Scherzer,R,NYM,CIN,5/9/23,
Luke Weaver,R,CIN,NYM,5/9/23,
Alek Manoah,R,TOR,PHI,5/9/23,
Aaron Nola,R,PHI,TOR,5/9/23,
Drew Rucinski,R,OAK,NYY,5/9/23,
Clarke Schmidt,R,NYY,OAK,5/9/23,
Nick Pivetta,R,BOS,ATL,5/9/23,
Charlie Morton,R,ATL,BOS,5/9/23,
Lucas Giolito,R,CHW,KCR,5/9/23,
Jordan Lyles,R,KCR,CHW,5/9/23,
Michael Wacha,R,SDP,MIN,5/9/23,
Louie Varland,R,MIN,SDP,5/9/23,
Noah Syndergaard,R,LAD,MIL,5/9/23,
Eric Lauer,L,MIL,LAD,5/9/23,
Jack Flaherty,R,STL,CHC,5/9/23,
Jameson Taillon,R,CHC,STL,5/9/23,
Framber Valdez,L,HOU,LAA,5/9/23,
Shohei Ohtani,R,LAA,HOU,5/9/23,
Jesus Luzardo,L,MIA,ARI,5/9/23,
Brandon Pfaadt,R,ARI,MIA,5/9/23,
Andrew Heaney,L,TEX,SEA,5/9/23,
George Kirby,R,SEA,TEX,5/9/23,
Patrick Corbin,L,WAS,SFG,5/9/23,
Logan Webb,R,SFG,WAS,5/9/23,
Kyle Muller,L,OAK,NYY,5/10/23,
Jhony Brito,R,NYY,OAK,5/10/23,
Antonio Senzatela,R,COL,PIT,5/10/23,
Rich Hill,L,PIT,COL,5/10/23,
Eduardo Rodriguez,L,DET,CLE,5/10/23,
Peyton Battenfield,R,CLE,DET,5/10/23,
Clayton Kershaw,L,LAD,MIL,5/10/23,
Wade Miley,L,MIL,LAD,5/10/23,
Edward Cabrera,R,MIA,ARI,5/10/23,
Merrill Kelly,R,ARI,MIA,5/10/23,
Dane Dunning,R,TEX,SEA,5/10/23,
Luis Castillo,R,SEA,TEX,5/10/23,
Josiah Gray,R,WAS,SFG,5/10/23,
Sean Manaea,L,SFG,WAS,5/10/23,
Kevin Gausman,R,TOR,PHI,5/10/23,
Zack Wheeler,R,PHI,TOR,5/10/23,
Cristian Javier,R,HOU,LAA,5/10/23,
Griffin Canning,R,LAA,HOU,5/10/23,
Jalen Beeks,L,TBR,BAL,5/10/23,
Yonny Chirinos,R,BAL,TBR,5/10/23,
Dean Kremer,R,NYM,CIN,5/10/23,
Justin Verlander,R,CIN,NYM,5/10/23,
Hunter Greene,R,BOS,ATL,5/10/23,
Brayan Bello,R,ATL,BOS,5/10/23,
Jared Shuster,L,STL,CHC,5/10/23,
Jordan Montgomery,L,CHC,STL,5/10/23,
Justin Steele,L,CHW,KCR,5/10/23,
Lance Lynn,R,KCR,CHW,5/10/23,
Brad Keller,R,SDP,MIN,5/10/23,
Seth Lugo,R,MIN,SDP,5/10/23,
Kodai Senga,R,NYM,CIN,5/11/23,
Derek Law,R,CIN,NYM,5/11/23,
Ben Lively,R,SDP,MIN,5/11/23,
Yu Darvish,R,MIN,SDP,5/11/23,
Bailey Ober,R,CHW,KCR,5/11/23,
Mike Clevinger,R,KCR,CHW,5/11/23,
Brady Singer,R,TBR,NYY,5/11/23,
Drew Rasmussen,R,NYY,TBR,5/11/23,
Domingo German,R,SFG,ARI,5/11/23,
Alex Cobb,R,ARI,SFG,5/11/23,
Tommy Henry,L,TEX,OAK,5/11/23,
Nathan Eovaldi,R,OAK,TEX,5/11/23,
Graham Ashcraft,R,CIN,MIA,5/12/23,
Eury Perez,R,MIA,CIN,5/12/23,
Marco Gonzales,L,SEA,DET,5/12/23,
Matthew Boyd,L,DET,SEA,5/12/23,
Tylor Megill,R,NYM,WAS,5/12/23,
MacKenzie Gore,L,WAS,NYM,5/12/23,
Johan Oviedo,R,PIT,BAL,5/12/23,
