Name,Handedness,Team,Opponent,Date,RGID
Kyle Bradish,R,BAL,PIT,5/12/23,
Trevor Kelley,R,TBR,NYY,5/12/23,
Josh Fleming,L,NYY,TBR,5/12/23,
Gerrit Cole,R,ATL,TOR,5/12/23,
Spencer Strider,R,TOR,ATL,5/12/23,
Chris Bassitt,R,STL,BOS,5/12/23,
Adam Wainwright,R,BOS,STL,5/12/23,
James Paxton,L,LAA,CLE,5/12/23,
Tyler Anderson,L,CLE,LAA,5/12/23,
Logan Allen,L,HOU,CHW,5/12/23,
J.P. France,R,CHW,HOU,5/12/23,
Michael Kopech,R,KCR,MIL,5/12/23,
Josh Taylor,L,MIL,KCR,5/12/23,
Corbin Burnes,R,CHC,MIN,5/12/23,
Drew Smyly,L,MIN,CHC,5/12/23,
Sonny Gray,R,PHI,COL,5/12/23,
Taijuan Walker,R,COL,PHI,5/12/23,
Austin Gomber,L,SFG,ARI,5/12/23,
John Brebbia,R,ARI,SFG,5/12/23,
Ross Stripling,R,TEX,OAK,5/12/23,
Ryne Nelson,R,OAK,TEX,5/12/23,
Martin Perez,L,SDP,LAD,5/12/23,
Ken Waldichuk,L,LAD,SDP,5/12/23,
Graham Ashcraft,R,CIN,MIA,5/12/23,
Eury Perez,R,MIA,CIN,5/12/23,
Marco Gonzales,L,SEA,DET,5/12/23,
Matthew Boyd,L,DET,SEA,5/12/23,
Tylor Megill,R,NYM,WAS,5/12/23,
MacKenzie Gore,L,WAS,NYM,5/12/23,
Johan Oviedo,R,PIT,BAL,5/12/23,
Kyle Bradish,R,BAL,PIT,5/12/23,
Trevor Kelley,R,TBR,NYY,5/12/23,
Josh Fleming,L,NYY,TBR,5/12/23,
Gerrit Cole,R,ATL,TOR,5/12/23,
Spencer Strider,R,TOR,ATL,5/12/23,
Chris Bassitt,R,STL,BOS,5/12/23,
Adam Wainwright,R,BOS,STL,5/12/23,
James Paxton,L,LAA,CLE,5/12/23,
Tyler Anderson,L,CLE,LAA,5/12/23,
Logan Allen,L,HOU,CHW,5/12/23,
J.P. France,R,CHW,HOU,5/12/23,
Michael Kopech,R,KCR,MIL,5/12/23,
Josh Taylor,L,MIL,KCR,5/12/23,
Corbin Burnes,R,CHC,MIN,5/12/23,
Drew Smyly,L,MIN,CHC,5/12/23,
Sonny Gray,R,PHI,COL,5/12/23,
Taijuan Walker,R,COL,PHI,5/12/23,
Austin Gomber,L,SFG,ARI,5/12/23,
John Brebbia,R,ARI,SFG,5/12/23,
Ross Stripling,R,TEX,OAK,5/12/23,
Ryne Nelson,R,OAK,TEX,5/12/23,
Martin Perez,L,SDP,LAD,5/12/23,
Ken Waldichuk,L,LAD,SDP,5/12/23,
Shane McClanahan,L,TBR,NYY,5/13/23,
Nestor Cortes,L,NYY,TBR,5/13/23,
Bryce Miller,R,SEA,DET,5/13/23,
Alex Faedo,R,DET,SEA,5/13/23,
Levi Stoudt,R,CIN,MIA,5/13/23,
Sandy Alcantara,R,MIA,CIN,5/13/23,
Hayden Wesneski,R,CHC,MIN,5/13/23,
Joe Ryan,R,MIN,CHC,5/13/23,
Bryce Elder,R,ATL,TOR,5/13/23,
Jose Berrios,R,TOR,ATL,5/13/23,
Joey Lucchesi,L,NYM,WAS,5/13/23,
Trevor Williams,R,WAS,NYM,5/13/23,
Jon Gray,R,TEX,OAK,5/13/23,
JP Sears,L,OAK,TEX,5/13/23,
Steven Matz,L,STL,BOS,5/13/23,
Chris Sale,L,BOS,STL,5/13/23,
Reid Detmers,L,LAA,CLE,5/13/23,
Cal Quantrill,R,CLE,LAA,5/13/23,
Roansy Contreras,R,PIT,BAL,5/13/23,
Tyler Wells,R,BAL,PIT,5/13/23,
Zack Greinke,R,KCR,MIL,5/13/23,
Adrian Houser,R,MIL,KCR,5/13/23,
Joe Musgrove,R,SDP,LAD,5/13/23,
Julio Urias,L,LAD,SDP,5/13/23,
Brandon Bielak,R,HOU,CHW,5/13/23,
Dylan Cease,R,CHW,HOU,5/13/23,
Anthony DeSclafani,R,SFG,ARI,5/13/23,
Zac Gallen,R,ARI,SFG,5/13/23,
Ranger Suarez,L,PHI,COL,5/13/23,
Ryan Feltner,R,COL,PHI,5/13/23,
Patrick Sandoval,L,LAA,CLE,5/14/23,
Tanner Bibee,R,CLE,LAA,5/14/23,
Zach Eflin,R,TBR,NYY,5/14/23,
Clarke Schmidt,R,NYY,TBR,5/14/23,
Mitch Keller,R,PIT,BAL,5/14/23,
Kyle Gibson,R,BAL,PIT,5/14/23,
Collin McHugh,R,ATL,TOR,5/14/23,
Yusei Kikuchi,L,TOR,ATL,5/14/23,
Logan Gilbert,R,SEA,DET,5/14/23,
Joey Wentz,L,DET,SEA,5/14/23,
Luke Weaver,R,CIN,MIA,5/14/23,
Braxton Garrett,L,MIA,CIN,5/14/23,
Marcus Stroman,R,CHC,MIN,5/14/23,
Louie Varland,R,MIN,CHC,5/14/23,
Jordan Lyles,R,KCR,MIL,5/14/23,
Colin Rea,R,MIL,KCR,5/14/23,
Hunter Brown,R,HOU,CHW,5/14/23,
Lucas Giolito,R,CHW,HOU,5/14/23,
Aaron Nola,R,PHI,COL,5/14/23,
Kyle Freeland,L,COL,PHI,5/14/23,
Andrew Heaney,L,TEX,OAK,5/14/23,
JP Sears,L,OAK,TEX,5/14/23,
Ryan Weathers,L,SDP,LAD,5/14/23,
Tony Gonsolin,R,LAD,SDP,5/14/23,
Logan Webb,R,SFG,ARI,5/14/23,
Brandon Pfaadt,R,ARI,SFG,5/14/23,
Max Scherzer,R,NYM,WAS,5/14/23,
Jake Irvin,R,WAS,NYM,5/14/23,
Miles Mikolas,R,STL,BOS,5/14/23,
Corey Kluber,R,BOS,STL,5/14/23,
David Peterson,L,NYM,WAS,5/15/23,
Patrick Corbin,L,WAS,NYM,5/15/23,
Shohei Ohtani,R,LAA,BAL,5/15/23,
Grayson Rodriguez,R,BAL,LAA,5/15/23,
Jhony Brito,R,NYY,TOR,5/15/23,
Alek Manoah,R,TOR,NYY,5/15/23,
George Kirby,R,SEA,BOS,5/15/23,
Tanner Houck,R,BOS,SEA,5/15/23,
Freddy Peralta,R,MIL,STL,5/15/23,
Jack Flaherty,R,STL,MIL,5/15/23,
Charlie Morton,R,ATL,TEX,5/15/23,
Cody Bradford,L,TEX,ATL,5/15/23,
Jameson Taillon,R,CHC,HOU,5/15/23,
Framber Valdez,L,HOU,CHC,5/15/23,
Hunter Greene,R,CIN,COL,5/15/23,
Connor Seabold,R,COL,CIN,5/15/23,
Brad Keller,R,KCR,SDP,5/15/23,
Michael Wacha,R,SDP,KCR,5/15/23,
Merrill Kelly,R,ARI,OAK,5/15/23,
Drew Rucinski,R,OAK,ARI,5/15/23,
Connor Brogdon,R,PHI,SFG,5/15/23,
Bailey Falter,L,SFG,PHI,5/15/23,
Alex Wood,L,MIN,LAD,5/15/23,
Pablo Lopez,R,LAD,MIN,5/15/23,Chase Silseth,R,LAA,BAL,2023-05-16,3509672
Dean Kremer,R,BAL,LAA,2023-05-16,1451925
Luis Ortiz,R,PIT,DET,2023-05-16,3803321
Michael Lorenzen,R,DET,PIT,2023-05-16,17488
Josiah Gray,R,WAS,MIA,2023-05-16,2039710
Jesus Luzardo,L,MIA,WAS,2023-05-16,1266776
Domingo German,R,NYY,TOR,2023-05-16,22659
Kevin Gausman,R,TOR,NYY,2023-05-16,15840
Luis Castillo,R,SEA,BOS,2023-05-16,15729
Nick Pivetta,R,BOS,SEA,2023-05-16,36234
Jalen Beeks,L,TBR,NYM,2023-05-16,37991
Yonny Chirinos,R,NYM,TBR,2023-05-16,38039
Wade Miley,L,MIL,STL,2023-05-16,11462
Jordan Montgomery,L,STL,MIL,2023-05-16,36606
Jared Shuster,L,ATL,TEX,2023-05-16,2039403
Dane Dunning,R,TEX,ATL,2023-05-16,1451963
Justin Steele,L,CHC,HOU,2023-05-16,814426
Cristian Javier,R,HOU,CHC,2023-05-16,1452665
Shane Bieber,R,CLE,CHW,2023-05-16,351838
Lance Lynn,R,CHW,CLE,2023-05-16,11292
Brandon Williamson,L,CIN,COL,2023-05-16,2039137
Chase Anderson,R,COL,CIN,2023-05-16,16064
Brady Singer,R,KCR,SDP,2023-05-16,2038877
Seth Lugo,R,SDP,KCR,2023-05-16,34718
Tommy Henry,L,ARI,OAK,2023-05-16,2039352
Kyle Muller,L,OAK,ARI,2023-05-16,2039402
Zack Wheeler,R,PHI,SFG,2023-05-16,15862
Alex Cobb,R,SFG,PHI,2023-05-16,11168
Bailey Ober,R,MIN,LAD,2023-05-16,2441077
Clayton Kershaw,L,LAD,MIN,2023-05-16,10905
Rich Hill,L,PIT,DET,2023-05-17,11187,448179,hillri01
Eduardo Rodriguez,L,DET,PIT,2023-05-17,16174,593958,rodried05
Graham Ashcraft,R,CIN,COL,2023-05-17,3522094,668933,ashcrgr01
Austin Gomber,L,COL,CIN,2023-05-17,38021,596295,gombeau01
Sonny Gray,R,MIN,LAD,2023-05-17,14979,543243,grayso01
Dustin May,R,LAD,MIN,2023-05-17,1206050,669160,maydu01
Ryne Nelson,R,ARI,OAK,2023-05-17,3776185,669194,nelsory01
Luis Medina,R,OAK,ARI,2023-05-17,1452199,665622,medinlu02
Taijuan Walker,R,PHI,SFG,2023-05-17,15266,592836,walketa01
Ross Stripling,R,SFG,PHI,2023-05-17,16188,548389,stripro01
Carlos Hernandez,R,KCR,SDP,2023-05-17,1452081,672578,hernaca04
Yu Darvish,R,SDP,KCR,2023-05-17,13412,506433,darviyu01
Griffin Canning,R,LAA,BAL,2023-05-17,980775,656288,cannigr01
Kyle Bradish,R,BAL,LAA,2023-05-17,2106116,680694,bradiky01
MacKenzie Gore,L,WAS,MIA,2023-05-17,2039965,669022,gorema01
Edward Cabrera,R,MIA,WAS,2023-05-17,1452626,665795,cabreed02
Gerrit Cole,R,NYY,TOR,2023-05-17,15859,543037,colege01
Chris Bassitt,R,TOR,NYY,2023-05-17,17633,605135,bassich01
Marco Gonzales,L,SEA,BOS,2023-05-17,17509,594835,gonzama02
Brayan Bello,R,BOS,SEA,2023-05-17,3201947,678394,bellobr01
Josh Fleming,L,TBR,NYM,2023-05-17,2039184,676596,flemijo01
Kodai Senga,R,NYM,TBR,2023-05-17,4552262,673540,sengako01
Corbin Burnes,R,MIL,STL,2023-05-17,449732,669203,burneco01
Matthew Liberatore,L,STL,MIL,2023-05-17,2040078,669461,liberma01
Spencer Strider,R,ATL,TEX,2023-05-17,3116717,675911,stridsp01
Nathan Eovaldi,R,TEX,ATL,2023-05-17,11440,543135,eovalna01
Peyton Battenfield,R,CLE,CHW,2023-05-17,4599696,685410,battepe01
Mike Clevinger,R,CHW,CLE,2023-05-17,34646,605182,clevimi01
Drew Smyly,L,CHC,HOU,2023-05-17,13432,592767,smylydr01
J.P. France,R,HOU,CHC,2023-05-17,4266813,,
Tyler Anderson,L,LAA,BAL,2023-05-18,16126,542881,anderty01
Tyler Wells,R,BAL,LAA,2023-05-18,2500250,669330,wellsty01
Trevor Williams,R,WAS,MIA,2023-05-18,35715,592866,willitr01
Eury Perez,R,MIA,WAS,2023-05-18,4727031,691587,perezeu02
Taj Bradley,R,TBR,NYM,2023-05-18,4267539,671737,bradlta01
Tylor Megill,R,NYM,TBR,2023-05-18,2949570,656731,megilty01
Logan Allen,L,CLE,CHW,2023-05-18,4652998,671106,allenlo02
Dylan Cease,R,CHW,CLE,2023-05-18,813864,656302,ceasedy01
Nestor Cortes,L,NYY,TOR,2023-05-18,41495,641482,cortene01
Jose Berrios,R,TOR,NYY,2023-05-18,35029,621244,berrijo01
Julio Urias,L,LAD,STL,2023-05-18,17768,628711,uriasju01
Adam Wainwright,R,STL,LAD,2023-05-18,13385,425794,wainwad01
Zac Gallen,R,ARI,PIT,2023-05-19,1109352,668678,galleza01
Johan Oviedo,R,PIT,ARI,2023-05-19,2040079,670912,oviedjo01
Clarke Schmidt,R,NYY,CIN,2023-05-19,2039028,657376,schmicl01
Ben Lively,R,CIN,NYY,2023-05-19,36232,594902,livelbe01
Adrian Houser,R,MIL,TBR,2023-05-19,31643,605288,housead01
Shane McClanahan,L,TBR,MIL,2023-05-19,2039185,663556,mcclash01
Matthew Boyd,L,DET,WAS,2023-05-19,18952,571510,boydma01
Jake Irvin,R,WAS,DET,2023-05-19,2040132,663623,irvinja01
Marcus Stroman,R,CHC,PHI,2023-05-19,16408,573186,stromma01
Ranger Suarez,L,PHI,CHC,2023-05-19,38029,624133,suarera01
Kyle Gibson,R,BAL,TOR,2023-05-19,15867,502043,gibsoky01
Yusei Kikuchi,L,TOR,BAL,2023-05-19,814189,579328,kikucyu01
Cal Quantrill,R,CLE,NYM,2023-05-19,989701,615698,quantca01
Carlos Carrasco,R,NYM,CLE,2023-05-19,10678,471911,carraca01
Bryce Miller,R,SEA,ATL,2023-05-19,4686360,682243,millebr04
Bryce Elder,R,ATL,SEA,2023-05-19,3456890,693821,elderbr01
Karl Kauffmann,R,COL,TEX,2023-05-19,2076524,666154,
Martin Perez,L,TEX,COL,2023-05-19,13502,527048,perezma02
Zack Greinke,R,KCR,CHW,2023-05-19,11175,425844,greinza01
Michael Kopech,R,CHW,KCR,2023-05-19,500626,656629,kopecmi01
Ken Waldichuk,L,OAK,HOU,2023-05-19,3763400,686610,waldike01
Brandon Bielak,R,HOU,OAK,2023-05-19,2039657,656232,bielabr01
