Name,Handedness,Team,Opponent,Date,RGID
Tony Gonsolin,R,LAD,STL,2023-05-19,935323,664062,gonsoto01
Steven Matz,L,STL,LAD,2023-05-19,17596,571927,matzst01
Joe Ryan,R,MIN,LAA,2023-05-19,2039186,657746,ryanjo04
Reid Detmers,L,LAA,MIN,2023-05-19,2038930,672282,detmere01
James Paxton,L,BOS,SDP,2023-05-19,15267,572020,paxtoja01
Blake Snell,L,SDP,BOS,2023-05-19,22658,605483,snellbl01
Sandy Alcantara,R,MIA,SFG,2023-05-19,37550,645261,alcansa01
Anthony DeSclafani,R,SFG,MIA,2023-05-19,17708,543101,desclan01
Jordan Lyles,R,KCR,CHW,2023-05-20,11285,543475,lylesjo01
Lucas Giolito,R,CHW,KCR,2023-05-20,35242,608337,giolilu01
Grayson Rodriguez,R,BAL,TOR,2023-05-20,2081707,680570,rodrigr01
Alek Manoah,R,TOR,BAL,2023-05-20,2039296,666201,manoaal01
Brandon Pfaadt,R,ARI,PIT,2023-05-20,4690893,694297,pfaadbr01
Mitch Keller,R,PIT,ARI,2023-05-20,814787,656605,kellemi03
Jameson Taillon,R,CHC,PHI,2023-05-20,16116,592791,taillja01
Aaron Nola,R,PHI,CHC,2023-05-20,21538,605400,nolaaa01
Braxton Garrett,L,MIA,SFG,2023-05-20,2039597,666129,garrebr01
Logan Webb,R,SFG,MIA,2023-05-20,814868,657277,webblo01
Alex Faedo,R,DET,WAS,2023-05-20,2038817,656412,faedoal01
Patrick Corbin,L,WAS,DET,2023-05-20,13434,571578,corbipa01
Kyle Freeland,L,COL,TEX,2023-05-20,36592,607536,freelky01
Jon Gray,R,TEX,COL,2023-05-20,17630,592351,grayjo02
JP Sears,L,OAK,HOU,2023-05-20,3203908,676664,searsjp01
Hunter Brown,R,HOU,OAK,2023-05-20,3776186,686613,brownhu01
Eric Lauer,L,MIL,TBR,2023-05-20,259699,641778,lauerer01
Zach Eflin,R,TBR,MIL,2023-05-20,35145,621107,eflinza01
Tanner Bibee,R,CLE,NYM,2023-05-20,4663938,676440,bibeeta01
Max Scherzer,R,NYM,CLE,2023-05-20,10934,453286,scherma01
Jhony Brito,R,NYY,CIN,2023-05-20,4061565,666745,britojh01
Luke Weaver,R,CIN,NYY,2023-05-20,35644,596133,weavelu01
Logan Gilbert,R,SEA,ATL,2023-05-20,2039132,669302,gilbelo01
Jesse Chavez,R,ATL,SEA,2023-05-20,13789,445926,chaveje01
Noah Syndergaard,R,LAD,STL,2023-05-20,17627,592789,syndeno01
Miles Mikolas,R,STL,LAD,2023-05-20,13737,571945,mikolmi01
Louie Varland,R,MIN,LAA,2023-05-20,3783412,686973,varlalo01
Patrick Sandoval,L,LAA,MIN,2023-05-20,1210009,663776,sandopa02
Chris Sale,L,BOS,SDP,2023-05-20,10976,519242,salech01
Joe Musgrove,R,SDP,BOS,2023-05-20,34672,605397,musgrjo01
Luis Severino,R,NYY,CIN,2023-05-21,21546,622663,severlu01
Hunter Greene,R,CIN,NYY,2023-05-21,2060921,668881,greenhu01
Joey Wentz,L,DET,WAS,2023-05-21,2440928,666214,wentzjo01
Josiah Gray,R,WAS,DET,2023-05-21,2039710,680686,grayjo03
Justin Steele,L,CHC,PHI,2023-05-21,814426,657006,steelju01
Taijuan Walker,R,PHI,CHC,2023-05-21,15266,592836,walketa01
George Kirby,R,SEA,ATL,2023-05-21,2039134,669923,kirbyge01
Jared Shuster,L,ATL,SEA,2023-05-21,2039403,694363,shustja01
Merrill Kelly,R,ARI,PIT,2023-05-21,16363,518876,kellyme01
Roansy Contreras,R,PIT,ARI,2023-05-21,2441121,672710,contrro01
Dean Kremer,R,BAL,TOR,2023-05-21,1451925,665152,kremede01
Kevin Gausman,R,TOR,BAL,2023-05-21,15840,592332,gausmke01
Tanner Bibee,R,CLE,NYM,2023-05-21,4663938,676440,bibeeta01
Max Scherzer,R,NYM,CLE,2023-05-21,10934,453286,scherma01
Freddy Peralta,R,MIL,TBR,2023-05-21,42165,642547,peralfr01
Jalen Beeks,L,TBR,MIL,2023-05-21,37991,656222,beeksja02
James Kaprielian,R,OAK,HOU,2023-05-21,814149,621076,kaprija01
Framber Valdez,L,HOU,OAK,2023-05-21,503797,664285,valdefr01
Carlos Hernandez,R,KCR,CHW,2023-05-21,1452081,,
Lance Lynn,R,CHW,KCR,2023-05-21,11292,458681,lynnla01
Clayton Kershaw,L,LAD,STL,2023-05-21,10905,477132,kershcl01
Jack Flaherty,R,STL,LAD,2023-05-21,37542,656427,flaheja01
Connor Seabold,R,COL,TEX,2023-05-21,2039865,657756,seaboco01
Andrew Heaney,L,TEX,COL,2023-05-21,17566,571760,heanean01
Jesus Luzardo,L,MIA,SFG,2023-05-21,1266776,666200,luzarje01
Alex Wood,L,SFG,MIA,2023-05-21,15846,622072,woodal02
Pablo Lopez,R,MIN,LAA,2023-05-21,42487,641154,lopezpa01
Shohei Ohtani,R,LAA,MIN,2023-05-21,41843,660271,ohtansh01
Corey Kluber,R,BOS,SDP,2023-05-21,11495,446372,klubeco01
Michael Wacha,R,SDP,BOS,2023-05-21,15848,608379,wachami01
Shane Bieber,R,CLE,NYM,2023-05-21,351838,669456,biebesh01
Justin Verlander,R,NYM,CLE,2023-05-21,10908,434378,verlaju01
Jesse Scholtens,R,CHW,CLE,2023-05-22,4581633,669947,scholje01
Hunter Gaddis,R,CLE,CHW,2023-05-22,3676054,683769,gaddihu01
Dane Dunning,R,TEX,PIT,2023-05-22,1451963,641540,dunnida01
Luis Ortiz,R,PIT,TEX,2023-05-22,3803321,682847,ortizlu03
Tommy Henry,L,ARI,PHI,2023-05-22,2039352,674072,henryto01
Zack Wheeler,R,PHI,ARI,2023-05-22,15862,554430,wheelza01
Jordan Montgomery,L,STL,CIN,2023-05-22,36606,656756,montgjo01
Brandon Williamson,L,CIN,STL,2023-05-22,2039137,682227,willibr02
Chris Bassitt,R,TOR,TBR,2023-05-22,17633,605135,bassich01
Trevor Kelley,R,TBR,TOR,2023-05-22,36552,665001,kelletr01
Gavin Stone,R,LAD,ATL,2023-05-22,4690892,694813,stonega01
Charlie Morton,R,ATL,LAD,2023-05-22,10985,450203,mortoch02
Michael Lorenzen,R,DET,KCR,2023-05-22,17488,547179,lorenmi01
Brady Singer,R,KCR,DET,2023-05-22,2038877,663903,singebr01
Cristian Javier,R,HOU,MIL,2023-05-22,1452665,664299,javiecr01
Corbin Burnes,R,MIL,HOU,2023-05-22,449732,669203,burneco01
John Brebbia,R,SFG,MIN,2023-05-22,36795,605154,brebbjo01
Bailey Ober,R,MIN,SFG,2023-05-22,2441077,641927,oberba01
Edward Cabrera,R,MIA,COL,2023-05-22,1452626,665795,cabreed02
Chase Anderson,R,COL,MIA,2023-05-22,16064,502624,anderch01
Tanner Houck,R,BOS,LAA,2023-05-22,2044741,656557,houckta01
Jaime Barria,R,LAA,BOS,2023-05-22,38005,642545,barrija01
Kyle Muller,L,OAK,SEA,2023-05-22,2039402,666205,mulleky01
Luis Castillo,R,SEA,OAK,2023-05-22,15729,622491,castilu02
Dylan Cease,R,CHW,CLE,2023-05-23,813864,656302,ceasedy01
Logan Allen,L,CLE,CHW,2023-05-23,4652998,671106,allenlo02
Nathan Eovaldi,R,TEX,PIT,2023-05-23,11440,543135,eovalna01
Rich Hill,L,PIT,TEX,2023-05-23,11187,448179,hillri01
Adam Wainwright,R,STL,CIN,2023-05-23,13385,425794,wainwad01
Graham Ashcraft,R,CIN,STL,2023-05-23,3522094,668933,ashcrgr01
Jose Berrios,R,TOR,TBR,2023-05-23,35029,621244,berrijo01
Taj Bradley,R,TBR,TOR,2023-05-23,4267539,671737,bradlta01
Ryne Nelson,R,ARI,PHI,2023-05-23,3776185,669194,nelsory01
Matt Strahm,L,PHI,ARI,2023-05-23,34643,621381,strahma01
Kyle Bradish,R,BAL,NYY,2023-05-23,2106116,680694,bradiky01
Gerrit Cole,R,NYY,BAL,2023-05-23,15859,543037,colege01
Yu Darvish,R,SDP,WAS,2023-05-23,13412,506433,darviyu01
MacKenzie Gore,L,WAS,SDP,2023-05-23,2039965,669022,gorema01
Bobby Miller,R,LAD,ATL,2023-05-23,2051949,676272,
Spencer Strider,R,ATL,LAD,2023-05-23,3116717,675911,stridsp01
Kodai Senga,R,NYM,CHC,2023-05-23,4552262,673540,sengako01
Drew Smyly,L,CHC,NYM,2023-05-23,13432,592767,smylydr01
Eduardo Rodriguez,L,DET,KCR,2023-05-23,16174,593958,rodried05
Daniel Lynch,L,KCR,DET,2023-05-23,2038876,,
J.P. France,R,HOU,MIL,2023-05-23,4266813,641585,francjp01
Colin Rea,R,MIL,HOU,2023-05-23,21810,607067,reaco01
Alex Cobb,R,SFG,MIN,2023-05-23,11168,502171,cobbal01
Sonny Gray,R,MIN,SFG,2023-05-23,14979,543243,grayso01
Eury Perez,R,MIA,COL,2023-05-23,4727031,691587,perezeu02
Austin Gomber,L,COL,MIA,2023-05-23,38021,596295,gombeau01
Brayan Bello,R,BOS,LAA,2023-05-23,3201947,678394,bellobr01
Griffin Canning,R,LAA,BOS,2023-05-23,980775,656288,cannigr01
Luis Medina,R,OAK,SEA,2023-05-23,1452199,665622,medinlu02
Marco Gonzales,L,SEA,OAK,2023-05-23,17509,594835,gonzama02
Martin Perez,L,TEX,PIT,2023-05-24,13502,527048,perezma02
Johan Oviedo,R,PIT,TEX,2023-05-24,2040079,670912,oviedjo01
Zac Gallen,R,ARI,PHI,2023-05-24,1109352,668678,galleza01
Ranger Suarez,L,PHI,ARI,2023-05-24,38029,624133,suarera01
Michael Kopech,R,CHW,CLE,2023-05-24,500626,656629,kopecmi01
Cal Quantrill,R,CLE,CHW,2023-05-24,989701,615698,quantca01
Anthony DeSclafani,R,SFG,MIN,2023-05-24,17708,543101,desclan01
Joe Ryan,R,MIN,SFG,2023-05-24,2039186,657746,ryanjo04
Brandon Bielak,R,HOU,MIL,2023-05-24,2039657,656232,bielabr01
Adrian Houser,R,MIL,HOU,2023-05-24,31643,605288,housead01
Steven Matz,L,STL,CIN,2023-05-24,17596,571927,matzst01
Ben Lively,R,CIN,STL,2023-05-24,36232,594902,livelbe01
Yusei Kikuchi,L,TOR,TBR,2023-05-24,814189,579328,kikucyu01
Shane McClanahan,L,TBR,TOR,2023-05-24,2039185,663556,mcclash01
Ryan Weathers,L,SDP,WAS,2023-05-24,2039967,677960,weathry01
Trevor Williams,R,WAS,SDP,2023-05-24,35715,592866,willitr01
Tyler Wells,R,BAL,NYY,2023-05-24,2500250,669330,wellsty01
Nestor Cortes,L,NYY,BAL,2023-05-24,41495,641482,cortene01
Tony Gonsolin,R,LAD,ATL,2023-05-24,935323,664062,gonsoto01
Bryce Elder,R,ATL,LAD,2023-05-24,3456890,693821,elderbr01
Kodai Senga,R,NYM,CHC,2023-05-24,4552262,673540,sengako01
Marcus Stroman,R,CHC,NYM,2023-05-24,16408,573186,stromma01
Matthew Boyd,L,DET,KCR,2023-05-24,18952,571510,boydma01
Zack Greinke,R,KCR,DET,2023-05-24,11175,425844,greinza01
Sandy Alcantara,R,MIA,COL,2023-05-24,37550,645261,alcansa01
Karl Kauffmann,R,COL,MIA,2023-05-24,2076524,666154,kauffka01
James Paxton,L,BOS,LAA,2023-05-24,15267,572020,paxtoja01
Tyler Anderson,L,LAA,BOS,2023-05-24,16126,542881,anderty01
Ken Waldichuk,L,OAK,SEA,2023-05-24,3763400,686610,waldike01
Bryce Miller,R,SEA,OAK,2023-05-24,4686360,682243,millebr04
Miles Mikolas,R,STL,CIN,2023-05-25,13737,571945,mikolmi01
Luke Weaver,R,CIN,STL,2023-05-25,35644,596133,weavelu01
Alek Manoah,R,TOR,TBR,2023-05-25,2039296,666201,manoaal01
Zach Eflin,R,TBR,TOR,2023-05-25,35145,621107,eflinza01
Braxton Garrett,L,MIA,COL,2023-05-25,2039597,666129,garrebr01
Kyle Freeland,L,COL,MIA,2023-05-25,36592,607536,freelky01
Blake Snell,L,SDP,WAS,2023-05-25,22658,605483,snellbl01
Jake Irvin,R,WAS,SDP,2023-05-25,2040132,663623,irvinja01
Lucas Giolito,R,CHW,DET,2023-05-25,35242,608337,giolilu01
Alex Faedo,R,DET,CHW,2023-05-25,2038817,656412,faedoal01
Kyle Gibson,R,BAL,NYY,2023-05-25,15867,502043,gibsoky01
Clarke Schmidt,R,NYY,BAL,2023-05-25,2039028,657376,schmicl01
Aaron Nola,R,PHI,ATL,2023-05-25,21538,605400,nolaaa01
Dylan Dodd,L,ATL,PHI,2023-05-25,4560601,689266,dodddy01
Scott Alexander,L,SFG,MIL,2023-05-25,17490,518397,alexasc02
Julio Teheran,R,MIL,SFG,2023-05-25,11191,527054,teherju01
Carlos Carrasco,R,NYM,CHC,2023-05-25,10678,471911,carraca01
Kyle Hendricks,R,CHC,NYM,2023-05-25,16517,543294,hendrky01
JP Sears,L,OAK,SEA,2023-05-25,3203908,676664,searsjp01
Logan Gilbert,R,SEA,OAK,2023-05-25,2039132,669302,gilbelo01
Hunter Greene,R,CIN,CHC,2023-05-26,2060921,668881,greenhu01
Justin Steele,L,CHC,CIN,2023-05-26,814426,657006,steelju01
Noah Syndergaard,R,LAD,TBR,2023-05-26,17627,592789,syndeno01
Jalen Beeks,L,TBR,LAD,2023-05-26,37991,656222,beeksja02
Lance Lynn,R,CHW,DET,2023-05-26,11292,458681,lynnla01
Joey Wentz,L,DET,CHW,2023-05-26,2440928,666214,wentzjo01
Jon Gray,R,TEX,BAL,2023-05-26,17630,592351,grayjo02
Grayson Rodriguez,R,BAL,TEX,2023-05-26,2081707,680570,rodrigr01
Joe Musgrove,R,SDP,NYY,2023-05-26,34672,605397,musgrjo01
Randy Vasquez,R,NYY,SDP,2023-05-26,4061566,681190,
Matthew Liberatore,L,STL,CLE,2023-05-26,2040078,669461,liberma01
Shane Bieber,R,CLE,STL,2023-05-26,351838,669456,biebesh01
Taijuan Walker,R,PHI,ATL,2023-05-26,15266,592836,walketa01
Jared Shuster,L,ATL,PHI,2023-05-26,2039403,694363,shustja01
Kevin Gausman,R,TOR,MIN,2023-05-26,15840,592332,gausmke01
Louie Varland,R,MIN,TOR,2023-05-26,3783412,686973,varlalo01
Alex Wood,L,SFG,MIL,2023-05-26,15846,622072,woodal02
Freddy Peralta,R,MIL,SFG,2023-05-26,42165,642547,peralfr01
Patrick Corbin,L,WAS,KCR,2023-05-26,13434,571578,corbipa01
Jordan Lyles,R,KCR,WAS,2023-05-26,11285,543475,lylesjo01
Max Scherzer,R,NYM,COL,2023-05-26,10934,453286,scherma01
Connor Seabold,R,COL,NYM,2023-05-26,2039865,657756,seaboco01
Jesus Luzardo,L,MIA,LAA,2023-05-26,1266776,666200,luzarje01
Reid Detmers,L,LAA,MIA,2023-05-26,2038930,672282,detmere01
Hunter Brown,R,HOU,OAK,2023-05-26,3776186,686613,brownhu01
James Kaprielian,R,OAK,HOU,2023-05-26,814149,621076,kaprija01
Chris Sale,L,BOS,ARI,2023-05-26,10976,519242,salech01
Brandon Pfaadt,R,ARI,BOS,2023-05-26,4690893,694297,pfaadbr01
Mitch Keller,R,PIT,SEA,2023-05-26,814787,656605,kellemi03
George Kirby,R,SEA,PIT,2023-05-26,2039134,669923,kirbyge01
Michael Wacha,R,SDP,NYY,2023-05-27,15848,608379,wachami01
Luis Severino,R,NYY,SDP,2023-05-27,21546,622663,severlu01
Jesse Scholtens,R,CHW,DET,2023-05-27,4581633,669947,scholje01
Michael Lorenzen,R,DET,CHW,2023-05-27,17488,547179,lorenmi01
Chris Bassitt,R,TOR,MIN,2023-05-27,17633,605135,bassich01
Pablo Lopez,R,MIN,TOR,2023-05-27,42487,641154,lopezpa01
Andrew Heaney,L,TEX,BAL,2023-05-27,17566,571760,heanean01
Dean Kremer,R,BAL,TEX,2023-05-27,1451925,665152,kremede01
Framber Valdez,L,HOU,OAK,2023-05-27,503797,664285,valdefr01
Hogan Harris,L,OAK,HOU,2023-05-27,4267224,663687,harriho03
Clayton Kershaw,L,LAD,TBR,2023-05-27,10905,477132,kershcl01
Tyler Glasnow,R,TBR,LAD,2023-05-27,34679,607192,glasnty01
Zack Wheeler,R,PHI,ATL,2023-05-27,15862,554430,wheelza01
Charlie Morton,R,ATL,PHI,2023-05-27,10985,450203,mortoch02
Josiah Gray,R,WAS,KCR,2023-05-27,2039710,680686,grayjo03
Brady Singer,R,KCR,WAS,2023-05-27,2038877,663903,singebr01
Vince Velasquez,R,PIT,SEA,2023-05-27,18877,592826,velasvi01
Luis Castillo,R,SEA,PIT,2023-05-27,15729,622491,castilu02
Logan Webb,R,SFG,MIL,2023-05-27,814868,657277,webblo01
Corbin Burnes,R,MIL,SFG,2023-05-27,449732,669203,burneco01
Garrett Whitlock,R,BOS,ARI,2023-05-27,2500210,676477,whitlga01
Zach Davies,R,ARI,BOS,2023-05-27,22664,605200,davieza02
Brandon Williamson,L,CIN,CHC,2023-05-27,2039137,682227,willibr02
Jameson Taillon,R,CHC,CIN,2023-05-27,16116,592791,taillja01
Jack Flaherty,R,STL,CLE,2023-05-27,37542,656427,flaheja01
Tanner Bibee,R,CLE,STL,2023-05-27,4663938,676440,bibeeta01
Justin Verlander,R,NYM,COL,2023-05-27,10908,434378,verlaju01
Chase Anderson,R,COL,NYM,2023-05-27,16064,502624,anderch01
Edward Cabrera,R,MIA,LAA,2023-05-27,1452626,665795,cabreed02
Shohei Ohtani,R,LAA,MIA,2023-05-27,41843,660271,ohtansh01
Gavin Stone,R,LAD,TBR,2023-05-28,4690892,694813,stonega01
Taj Bradley,R,TBR,LAD,2023-05-28,4267539,671737,bradlta01
Cody Bradford,L,TEX,BAL,2023-05-28,4742829,674003,bradfco01
Kyle Bradish,R,BAL,TEX,2023-05-28,2106116,680694,bradiky01
Yu Darvish,R,SDP,NYY,2023-05-28,13412,506433,darviyu01
Gerrit Cole,R,NYY,SDP,2023-05-28,15859,543037,colege01
Dylan Cease,R,CHW,DET,2023-05-28,813864,656302,ceasedy01
Eduardo Rodriguez,L,DET,CHW,2023-05-28,16174,593958,rodried05
Jordan Montgomery,L,STL,CLE,2023-05-28,36606,656756,montgjo01
Hunter Gaddis,R,CLE,STL,2023-05-28,3676054,683769,gaddihu01
MacKenzie Gore,L,WAS,KCR,2023-05-28,2039965,669022,gorema01
Daniel Lynch,L,KCR,WAS,2023-05-28,2038876,663738,lynchda02
Alex Cobb,R,SFG,MIL,2023-05-28,11168,502171,cobbal01
Colin Rea,R,MIL,SFG,2023-05-28,21810,607067,reaco01
Jose Berrios,R,TOR,MIN,2023-05-28,35029,621244,berrijo01
Bailey Ober,R,MIN,TOR,2023-05-28,2441077,641927,oberba01
Graham Ashcraft,R,CIN,CHC,2023-05-28,3522094,668933,ashcrgr01
Drew Smyly,L,CHC,CIN,2023-05-28,13432,592767,smylydr01
Tylor Megill,R,NYM,COL,2023-05-28,2949570,656731,megilty01
Austin Gomber,L,COL,NYM,2023-05-28,38021,596295,gombeau01
Eury Perez,R,MIA,LAA,2023-05-28,4727031,691587,perezeu02
Patrick Sandoval,L,LAA,MIA,2023-05-28,1210009,663776,sandopa02
Cristian Javier,R,HOU,OAK,2023-05-28,1452665,664299,javiecr01
Luis Medina,R,OAK,HOU,2023-05-28,1452199,665622,medinlu02
Tanner Houck,R,BOS,ARI,2023-05-28,2044741,656557,houckta01
Merrill Kelly,R,ARI,BOS,2023-05-28,16363,518876,kellyme01
Luis Ortiz,R,PIT,SEA,2023-05-28,3803321,682847,ortizlu03
Marco Gonzales,L,SEA,PIT,2023-05-28,17509,594835,gonzama02
Dylan Covey,R,PHI,ATL,2023-05-28,36263,592229,coveydy01
Spencer Strider,R,ATL,PHI,2023-05-28,3116717,675911,stridsp01
Logan Allen,L,CLE,BAL,2023-05-29,4652998,671106,allenlo02
Tyler Wells,R,BAL,CLE,2023-05-29,2500250,669330,wellsty01
Nathan Eovaldi,R,TEX,DET,2023-05-29,11440,543135,eovalna01
Matthew Boyd,L,DET,TEX,2023-05-29,18952,571510,boydma01
Joshua Staumont,R,KCR,STL,2023-05-29,813989,,
Mike Mayers,R,STL,KCR,2023-05-29,35328,,
Taj Bradley,R,TBR,CHC,2023-05-29,4267539,671737,bradlta01
Marcus Stroman,R,CHC,TBR,2023-05-29,16408,573186,stromma01
Karl Kauffmann,R,COL,ARI,2023-05-29,2076524,666154,kauffka01
Ryne Nelson,R,ARI,COL,2023-05-29,3776185,669194,nelsory01
Sonny Gray,R,MIN,HOU,2023-05-29,14979,543243,grayso01
J.P. France,R,HOU,MIN,2023-05-29,4266813,641585,francjp01
Rich Hill,L,PIT,SFG,2023-05-29,11187,448179,hillri01
Anthony DeSclafani,R,SFG,PIT,2023-05-29,17708,543101,desclan01
Mike Soroka,R,ATL,OAK,2023-05-29,276320,,
Paul Blackburn,R,OAK,ATL,2023-05-29,36242,621112,blackpa01
Griffin Canning,R,LAA,CHW,2023-05-29,980775,656288,cannigr01
Michael Kopech,R,CHW,LAA,2023-05-29,500626,656629,kopecmi01
Trevor Williams,R,WAS,LAD,2023-05-29,35715,592866,willitr01
Bobby Miller,R,LAD,WAS,2023-05-29,2051949,676272,millebo06
Domingo German,R,NYY,SEA,2023-05-29,22659,593334,germado01
Bryce Miller,R,SEA,NYY,2023-05-29,4686360,682243,millebr04
Martin Perez,L,TEX,DET,2023-05-30,13502,527048,perezma02
Alex Faedo,R,DET,TEX,2023-05-30,2038817,656412,faedoal01
Ryan Weathers,L,SDP,MIA,2023-05-30,2039967,677960,weathry01
Sandy Alcantara,R,MIA,SDP,2023-05-30,37550,645261,alcansa01
Cal Quantrill,R,CLE,BAL,2023-05-30,989701,615698,quantca01
Kyle Gibson,R,BAL,CLE,2023-05-30,15867,502043,gibsoky01
Adrian Houser,R,MIL,TOR,2023-05-30,31643,605288,housead01
Yusei Kikuchi,L,TOR,MIL,2023-05-30,814189,579328,kikucyu01
Ben Lively,R,CIN,BOS,2023-05-30,36232,594902,livelbe01
Brayan Bello,R,BOS,CIN,2023-05-30,3201947,678394,bellobr01
Ranger Suarez,L,PHI,NYM,2023-05-30,38029,624133,suarera01
Kodai Senga,R,NYM,PHI,2023-05-30,4552262,673540,sengako01
Zack Greinke,R,KCR,STL,2023-05-30,11175,425844,greinza01
Miles Mikolas,R,STL,KCR,2023-05-30,13737,571945,mikolmi01
Shane McClanahan,L,TBR,CHC,2023-05-30,2039185,663556,mcclash01
Kyle Hendricks,R,CHC,TBR,2023-05-30,16517,543294,hendrky01
Joe Ryan,R,MIN,HOU,2023-05-30,2039186,657746,ryanjo04
Brandon Bielak,R,HOU,MIN,2023-05-30,2039657,656232,bielabr01
Tyler Anderson,L,LAA,CHW,2023-05-30,16126,542881,anderty01
Lucas Giolito,R,CHW,LAA,2023-05-30,35242,608337,giolilu01
Nestor Cortes,L,NYY,SEA,2023-05-30,41495,641482,cortene01
Logan Gilbert,R,SEA,NYY,2023-05-30,2039132,669302,gilbelo01
Kyle Freeland,L,COL,ARI,2023-05-30,36592,607536,freelky01
Zac Gallen,R,ARI,COL,2023-05-30,1109352,668678,galleza01
Bryce Elder,R,ATL,OAK,2023-05-30,3456890,693821,elderbr01
JP Sears,L,OAK,ATL,2023-05-30,3203908,676664,searsjp01
Johan Oviedo,R,PIT,SFG,2023-05-30,2040079,670912,oviedjo01
John Brebbia,R,SFG,PIT,2023-05-30,36795,605154,brebbjo01
Jake Irvin,R,WAS,LAD,2023-05-30,2040132,663623,irvinja01
Tony Gonsolin,R,LAD,WAS,2023-05-30,935323,664062,gonsoto01
Dane Dunning,R,TEX,DET,2023-05-31,1451963,641540,dunnida01
Joey Wentz,L,DET,TEX,2023-05-31,2440928,666214,wentzjo01
Jaime Barria,R,LAA,CHW,2023-05-31,38005,642545,barrija01
Lance Lynn,R,CHW,LAA,2023-05-31,11292,458681,lynnla01
Zach Eflin,R,TBR,CHC,2023-05-31,35145,621107,eflinza01
Justin Steele,L,CHC,TBR,2023-05-31,814426,657006,steelju01
Shane Bieber,R,CLE,BAL,2023-05-31,351838,669456,biebesh01
Austin Voth,R,BAL,CLE,2023-05-31,36172,608723,vothau01
Jared Shuster,L,ATL,OAK,2023-05-31,2039403,694363,shustja01
James Kaprielian,R,OAK,ATL,2023-05-31,814149,621076,kaprija01
Mitch Keller,R,PIT,SFG,2023-05-31,814787,656605,kellemi03
Alex Wood,L,SFG,PIT,2023-05-31,15846,622072,woodal02
Patrick Corbin,L,WAS,LAD,2023-05-31,13434,571578,corbipa01
