Name,Handedness,Team,Opponent,Date,RGID
Noah Syndergaard,R,LAD,WAS,2023-05-31,17627,592789,syndeno01
Blake Snell,L,SDP,MIA,2023-05-31,22658,605483,snellbl01
Braxton Garrett,L,MIA,SDP,2023-05-31,2039597,666129,garrebr01
Julio Teheran,R,MIL,TOR,2023-05-31,11191,527054,teherju01
Alek Manoah,R,TOR,MIL,2023-05-31,2039296,666201,manoaal01
Luke Weaver,R,CIN,BOS,2023-05-31,35644,596133,weavelu01
James Paxton,L,BOS,CIN,2023-05-31,15267,572020,paxtoja01
Aaron Nola,R,PHI,NYM,2023-05-31,21538,605400,nolaaa01
Carlos Carrasco,R,NYM,PHI,2023-05-31,10678,471911,carraca01
Louie Varland,R,MIN,HOU,2023-05-31,3783412,686973,varlalo01
Hunter Brown,R,HOU,MIN,2023-05-31,3776186,686613,brownhu01
Dinelson Lamet,R,COL,ARI,2023-05-31,36769,659275,lametdi01
Tommy Henry,L,ARI,COL,2023-05-31,2039352,674072,henryto01
Clarke Schmidt,R,NYY,SEA,2023-05-31,2039028,657376,schmicl01
George Kirby,R,SEA,NYY,2023-05-31,2039134,669923,kirbyge01
Tyler Alexander,L,DET,PHI,2023-06-06,1147788,641302,alexaty01
Taijuan Walker,R,PHI,DET,2023-06-06,15266,592836,walketa01
Louie Varland,R,MIN,TBR,2023-06-06,3783412,686973,varlalo01
Zach Eflin,R,TBR,MIN,2023-06-06,35145,621107,eflinza01
Zack Greinke,R,KCR,MIA,2023-06-06,11175,425844,greinza01
Jesus Luzardo,L,MIA,KCR,2023-06-06,1266776,666200,luzarje01
Tommy Henry,L,ARI,WAS,2023-06-06,2039352,674072,henryto01
Jake Irvin,R,WAS,ARI,2023-06-06,2040132,663623,irvinja01
James Kaprielian,R,OAK,PIT,2023-06-06,814149,621076,kaprija01
Mitch Keller,R,PIT,OAK,2023-06-06,814787,656605,kellemi03
Lucas Giolito,R,CHW,NYY,2023-06-06,35242,608337,giolilu01
Clarke Schmidt,R,NYY,CHW,2023-06-06,2039028,657376,schmicl01
Hunter Brown,R,HOU,TOR,2023-06-06,3776186,686613,brownhu01
Kevin Gausman,R,TOR,HOU,2023-06-06,15840,592332,gausmke01
James Paxton,L,BOS,CLE,2023-06-06,15267,572020,paxtoja01
Shane Bieber,R,CLE,BOS,2023-06-06,351838,669456,biebesh01
Tony Gonsolin,R,LAD,CIN,2023-06-06,935323,664062,gonsoto01
Luke Weaver,R,CIN,LAD,2023-06-06,35644,596133,weavelu01
Carlos Carrasco,R,NYM,ATL,2023-06-06,10678,471911,carraca01
Bryce Elder,R,ATL,NYM,2023-06-06,3456890,693821,elderbr01
Kyle Gibson,R,BAL,MIL,2023-06-06,15867,502043,gibsoky01
Freddy Peralta,R,MIL,BAL,2023-06-06,42165,642547,peralfr01
Matthew Liberatore,L,STL,TEX,2023-06-06,2040078,669461,liberma01
Dane Dunning,R,TEX,STL,2023-06-06,1451963,641540,dunnida01
John Brebbia,R,SFG,COL,2023-06-06,36795,605154,brebbjo01
Sean Manaea,L,COL,SFG,2023-06-06,35031,,
Hayden Wesneski,R,CHC,LAA,2023-06-06,3738273,669713,wesneha01
Tyler Anderson,L,LAA,CHC,2023-06-06,16126,542881,anderty01
Logan Gilbert,R,SEA,SDP,2023-06-06,2039132,669302,gilbelo01
Joe Musgrove,R,SDP,SEA,2023-06-06,34672,605397,musgrjo01
Hogan Harris,L,OAK,PIT,2023-06-07,4267224,663687,harriho03
Roansy Contreras,R,PIT,OAK,2023-06-07,2441121,672710,contrro01
George Kirby,R,SEA,SDP,2023-06-07,2039134,669923,kirbyge01
Michael Wacha,R,SDP,SEA,2023-06-07,15848,608379,wachami01
Reese Olson,R,DET,PHI,2023-06-07,4266773,681857,olsonre01
Zack Wheeler,R,PHI,DET,2023-06-07,15862,554430,wheelza01
Jordan Lyles,R,KCR,MIA,2023-06-07,11285,543475,lylesjo01
Edward Cabrera,R,MIA,KCR,2023-06-07,1452626,665795,cabreed02
Pablo Lopez,R,MIN,TBR,2023-06-07,42487,641154,lopezpa01
Cooper Criswell,R,TBR,MIN,2023-06-07,3054777,,
Lance Lynn,R,CHW,NYY,2023-06-07,11292,458681,lynnla01
Randy Vasquez,R,NYY,CHW,2023-06-07,4061566,681190,vasqura02
Zach Davies,R,ARI,WAS,2023-06-07,22664,605200,davieza02
Patrick Corbin,L,WAS,ARI,2023-06-07,13434,571578,corbipa01
Ronel Blanco,R,HOU,TOR,2023-06-07,3448186,669854,blancro01
Chris Bassitt,R,TOR,HOU,2023-06-07,17633,605135,bassich01
Noah Syndergaard,R,LAD,CIN,2023-06-07,17627,592789,syndeno01
Brandon Williamson,L,CIN,LAD,2023-06-07,2039137,682227,willibr02
Kutter Crawford,R,BOS,CLE,2023-06-07,3070067,676710,crawfku01
Tanner Bibee,R,CLE,BOS,2023-06-07,4663938,676440,bibeeta01
Max Scherzer,R,NYM,ATL,2023-06-07,10934,453286,scherma01
Charlie Morton,R,ATL,NYM,2023-06-07,10985,450203,mortoch02
Dean Kremer,R,BAL,MIL,2023-06-07,1451925,665152,kremede01
Corbin Burnes,R,MIL,BAL,2023-06-07,449732,669203,burneco01
Jack Flaherty,R,STL,TEX,2023-06-07,37542,656427,flaheja01
Jon Gray,R,TEX,STL,2023-06-07,17630,592351,grayjo02
Logan Webb,R,SFG,COL,2023-06-07,814868,657277,webblo01
Connor Seabold,R,COL,SFG,2023-06-07,2039865,657756,seaboco01
Jameson Taillon,R,CHC,LAA,2023-06-07,16116,592791,taillja01
Jaime Barria,R,LAA,CHC,2023-06-07,38005,642545,barrija01
Clayton Kershaw,L,LAD,CIN,2023-06-08,10905,477132,kershcl01
Graham Ashcraft,R,CIN,LAD,2023-06-08,3522094,668933,ashcrgr01
Merrill Kelly,R,ARI,WAS,2023-06-08,16363,518876,kellyme01
Josiah Gray,R,WAS,ARI,2023-06-08,2039710,680686,grayjo03
Bailey Ober,R,MIN,TBR,2023-06-08,2441077,641927,oberba01
Tyler Glasnow,R,TBR,MIN,2023-06-08,34679,,
Kyle Bradish,R,BAL,MIL,2023-06-08,2106116,680694,bradiky01
Colin Rea,R,MIL,BAL,2023-06-08,21810,607067,reaco01
Alex Cobb,R,SFG,COL,2023-06-08,11168,502171,cobbal01
Chase Anderson,R,COL,SFG,2023-06-08,16064,502624,anderch01
Lance Lynn,R,CHW,NYY,2023-06-08,11292,458681,lynnla01
Luis Severino,R,NYY,CHW,2023-06-08,21546,622663,severlu01
Tyler Holton,L,DET,PHI,2023-06-08,3484369,663947,holtoty01
Zack Wheeler,R,PHI,DET,2023-06-08,15862,554430,wheelza01
Framber Valdez,L,HOU,TOR,2023-06-08,503797,664285,valdefr01
Jose Berrios,R,TOR,HOU,2023-06-08,35029,621244,berrijo01
Matt Dermody,L,BOS,CLE,2023-06-08,35707,571616,dermoma01
Aaron Civale,R,CLE,BOS,2023-06-08,1119021,650644,civalaa01
Justin Verlander,R,NYM,ATL,2023-06-08,10908,434378,verlaju01
Spencer Strider,R,ATL,NYM,2023-06-08,3116717,675911,stridsp01
Mike Clevinger,R,CHW,NYY,2023-06-08,34646,605182,clevimi01
Randy Vasquez,R,NYY,CHW,2023-06-08,4061566,681190,vasqura02
Drew Smyly,L,CHC,LAA,2023-06-08,13432,592767,smylydr01
Reid Detmers,L,LAA,CHC,2023-06-08,2038930,672282,detmere01
Merrill Kelly,R,ARI,DET,2023-06-09,16363,518876,kellyme01
Michael Lorenzen,R,DET,ARI,2023-06-09,17488,547179,lorenmi01
Andrew Heaney,L,TEX,TBR,2023-06-09,17566,571760,heanean01
Tyler Glasnow,R,TBR,TEX,2023-06-09,34679,607192,glasnty01
Tylor Megill,R,NYM,PIT,2023-06-09,2949570,656731,megilty01
Rich Hill,L,PIT,NYM,2023-06-09,11187,448179,hillri01
Daniel Lynch,L,KCR,BAL,2023-06-09,2038876,663738,lynchda02
Tyler Wells,R,BAL,KCR,2023-06-09,2500250,669330,wellsty01
Michael Grove,R,LAD,PHI,2023-06-09,2039711,675627,grovemi01
Ranger Suarez,L,PHI,LAD,2023-06-09,38029,624133,suarera01
Garrett Whitlock,R,BOS,NYY,2023-06-09,2500210,676477,whitlga01
Gerrit Cole,R,NYY,BOS,2023-06-09,15859,543037,colege01
Sonny Gray,R,MIN,TOR,2023-06-09,14979,543243,grayso01
Yusei Kikuchi,L,TOR,MIN,2023-06-09,814189,579328,kikucyu01
Cristian Javier,R,HOU,CLE,2023-06-09,1452665,664299,javiecr01
Logan Allen,L,CLE,HOU,2023-06-09,4652998,671106,allenlo02
Josiah Gray,R,WAS,ATL,2023-06-09,2039710,680686,grayjo03
AJ Smith-Shawver,R,ATL,WAS,2023-06-09,4781778,700363,smithaj01
Eury Perez,R,MIA,CHW,2023-06-09,4727031,691587,perezeu02
Dylan Cease,R,CHW,MIA,2023-06-09,813864,656302,ceasedy01
Samuel Moll,L,OAK,MIL,2023-06-09,36160,,
Luis Medina,R,MIL,OAK,2023-06-09,1452199,665622,medinlu02
Ben Lively,R,CIN,STL,2023-06-09,36232,594902,livelbe01
Jordan Montgomery,L,STL,CIN,2023-06-09,36606,656756,montgjo01
Yu Darvish,R,SDP,COL,2023-06-09,13412,506433,darviyu01
Austin Gomber,L,COL,SDP,2023-06-09,38021,596295,gombeau01
Luis Castillo,R,SEA,LAA,2023-06-09,15729,622491,castilu02
Shohei Ohtani,R,LAA,SEA,2023-06-09,41843,660271,ohtansh01
Marcus Stroman,R,CHC,SFG,2023-06-09,16408,573186,stromma01
Anthony DeSclafani,R,SFG,CHC,2023-06-09,17708,543101,desclan01
Ryne Nelson,R,ARI,DET,2023-06-10,3776185,669194,nelsory01
Matthew Boyd,L,DET,ARI,2023-06-10,18952,571510,boydma01
Sandy Alcantara,R,MIA,CHW,2023-06-10,37550,645261,alcansa01
Michael Kopech,R,CHW,MIA,2023-06-10,500626,656629,kopecmi01
Andrew Abbott,L,CIN,STL,2023-06-10,4793713,671096,abbotan01
Miles Mikolas,R,STL,CIN,2023-06-10,13737,571945,mikolmi01
Joe Ryan,R,MIN,TOR,2023-06-10,2039186,657746,ryanjo04
Bowden Francis,R,TOR,MIN,2023-06-10,2195497,670102,francbo01
Ryan Weathers,L,SDP,COL,2023-06-10,2039967,677960,weathry01
Kyle Freeland,L,COL,SDP,2023-06-10,36592,607536,freelky01
Brady Singer,R,KCR,BAL,2023-06-10,2038877,663903,singebr01
Cole Irvin,L,BAL,KCR,2023-06-10,1016169,608344,irvinco01
Bobby Miller,R,LAD,PHI,2023-06-10,2051949,676272,millebo06
Aaron Nola,R,PHI,LAD,2023-06-10,21538,605400,nolaaa01
Kodai Senga,R,NYM,PIT,2023-06-10,4552262,673540,sengako01
Johan Oviedo,R,PIT,NYM,2023-06-10,2040079,670912,oviedjo01
MacKenzie Gore,L,WAS,ATL,2023-06-10,2039965,669022,gorema01
Jared Shuster,L,ATL,WAS,2023-06-10,2039403,694363,shustja01
Paul Blackburn,R,OAK,MIL,2023-06-10,36242,621112,blackpa01
Julio Teheran,R,MIL,OAK,2023-06-10,11191,527054,teherju01
Nathan Eovaldi,R,TEX,TBR,2023-06-10,11440,543135,eovalna01
Taj Bradley,R,TBR,TEX,2023-06-10,4267539,671737,bradlta01
J.P. France,R,HOU,CLE,2023-06-10,4266813,641585,francjp01
Triston McKenzie,R,CLE,HOU,2023-06-10,1452000,663474,mckentr01
Tanner Houck,R,BOS,NYY,2023-06-10,2044741,656557,houckta01
Domingo German,R,NYY,BOS,2023-06-10,22659,593334,germado01
Kyle Hendricks,R,CHC,SFG,2023-06-10,16517,543294,hendrky01
John Brebbia,R,SFG,CHC,2023-06-10,36795,605154,brebbjo01
Bryan Woo,R,SEA,LAA,2023-06-10,4785723,693433,woobr01
Patrick Sandoval,L,LAA,SEA,2023-06-10,1210009,663776,sandopa02
Zac Gallen,R,ARI,DET,2023-06-11,1109352,668678,galleza01
Joey Wentz,L,DET,ARI,2023-06-11,2440928,666214,wentzjo01
Brandon Bielak,R,HOU,CLE,2023-06-11,2039657,656232,bielabr01
Shane Bieber,R,CLE,HOU,2023-06-11,351838,669456,biebesh01
Carlos Carrasco,R,NYM,PIT,2023-06-11,10678,471911,carraca01
Mitch Keller,R,PIT,NYM,2023-06-11,814787,656605,kellemi03
Carlos Hernandez,R,KCR,BAL,2023-06-11,1452081,672578,hernaca04
Mike Mayers,R,BAL,KCR,2023-06-11,35328,,
Trevor Williams,R,WAS,ATL,2023-06-11,35715,592866,willitr01
Bryce Elder,R,ATL,WAS,2023-06-11,3456890,693821,elderbr01
Victor Gonzalez,L,LAD,PHI,2023-06-11,1406062,624647,gonzavi02
Taijuan Walker,R,PHI,LAD,2023-06-11,15266,592836,walketa01
Louie Varland,R,MIN,TOR,2023-06-11,3783412,686973,varlalo01
Kevin Gausman,R,TOR,MIN,2023-06-11,15840,592332,gausmke01
Martin Perez,L,TEX,TBR,2023-06-11,13502,527048,perezma02
Shane McClanahan,L,TBR,TEX,2023-06-11,2039185,663556,mcclash01
Braxton Garrett,L,MIA,CHW,2023-06-11,2039597,666129,garrebr01
Lucas Giolito,R,CHW,MIA,2023-06-11,35242,608337,giolilu01
JP Sears,L,OAK,MIL,2023-06-11,3203908,676664,searsjp01
Freddy Peralta,R,MIL,OAK,2023-06-11,42165,642547,peralfr01
Hunter Greene,R,CIN,STL,2023-06-11,2060921,668881,greenhu01
Adam Wainwright,R,STL,CIN,2023-06-11,13385,425794,wainwad01
Blake Snell,L,SDP,COL,2023-06-11,22658,605483,snellbl01
Dinelson Lamet,R,COL,SDP,2023-06-11,36769,659275,lametdi01
Hayden Wesneski,R,CHC,SFG,2023-06-11,3738273,669713,wesneha01
John Brebbia,R,SFG,CHC,2023-06-11,36795,605154,brebbjo01
Logan Gilbert,R,SEA,LAA,2023-06-11,2039132,669302,gilbelo01
Griffin Canning,R,LAA,SEA,2023-06-11,980775,656288,cannigr01
Brayan Bello,R,BOS,NYY,2023-06-11,3201947,678394,bellobr01
Clarke Schmidt,R,NYY,BOS,2023-06-11,2039028,657376,schmicl01
Charlie Morton,R,ATL,DET,2023-06-12,10985,450203,mortoch02
Tyler Alexander,L,DET,ATL,2023-06-12,1147788,,
Connor Seabold,R,COL,BOS,2023-06-12,2039865,657756,seaboco01
James Paxton,L,BOS,COL,2023-06-12,15267,572020,paxtoja01
Logan Webb,R,SFG,STL,2023-06-12,814868,657277,webblo01
Matthew Liberatore,L,STL,SFG,2023-06-12,2040078,669461,liberma01
Tyler Anderson,L,LAA,TEX,2023-06-12,16126,542881,anderty01
Dane Dunning,R,TEX,LAA,2023-06-12,1451963,641540,dunnida01
Luke Weaver,R,CIN,KCR,2023-06-12,35644,596133,weavelu01
Zack Greinke,R,KCR,CIN,2023-06-12,11175,425844,greinza01
Zach Eflin,R,TBR,OAK,2023-06-12,35145,621107,eflinza01
James Kaprielian,R,OAK,TBR,2023-06-12,814149,621076,kaprija01
Matt Strahm,L,PHI,ARI,2023-06-12,34643,621381,strahma01
Tommy Henry,L,ARI,PHI,2023-06-12,2039352,674072,henryto01
Jesus Luzardo,L,MIA,SEA,2023-06-12,1266776,666200,luzarje01
Bryce Miller,R,SEA,MIA,2023-06-12,4686360,682243,millebr04
Spencer Strider,R,ATL,DET,2023-06-13,3116717,675911,stridsp01
Reese Olson,R,DET,ATL,2023-06-13,4266773,681857,olsonre01
Chris Bassitt,R,TOR,BAL,2023-06-13,17633,605135,bassich01
Dean Kremer,R,BAL,TOR,2023-06-13,1451925,665152,kremede01
Chase Anderson,R,COL,BOS,2023-06-13,16064,502624,anderch01
Kutter Crawford,R,BOS,COL,2023-06-13,3070067,676710,crawfku01
Luis Severino,R,NYY,NYM,2023-06-13,21546,622663,severlu01
Max Scherzer,R,NYM,NYY,2023-06-13,10934,453286,scherma01
Corbin Burnes,R,MIL,MIN,2023-06-13,449732,669203,burneco01
Pablo Lopez,R,MIN,MIL,2023-06-13,42487,641154,lopezpa01
Alex Cobb,R,SFG,STL,2023-06-13,11168,502171,cobbal01
Jack Flaherty,R,STL,SFG,2023-06-13,37542,656427,flaheja01
Luis Ortiz,R,PIT,CHC,2023-06-13,3803321,682847,ortizlu03
Jameson Taillon,R,CHC,PIT,2023-06-13,16116,592791,taillja01
Jaime Barria,R,LAA,TEX,2023-06-13,38005,642545,barrija01
Cody Bradford,L,TEX,LAA,2023-06-13,4742829,674003,bradfco01
Patrick Corbin,L,WAS,HOU,2023-06-13,13434,571578,corbipa01
Hunter Brown,R,HOU,WAS,2023-06-13,3776186,686613,brownhu01
Brandon Williamson,L,CIN,KCR,2023-06-13,2039137,682227,willibr02
Jordan Lyles,R,KCR,CIN,2023-06-13,11285,543475,lylesjo01
Edward Cabrera,R,MIA,SEA,2023-06-13,1452626,665795,cabreed02
George Kirby,R,SEA,MIA,2023-06-13,2039134,669923,kirbyge01
Zack Wheeler,R,PHI,ARI,2023-06-13,15862,554430,wheelza01
Zach Davies,R,ARI,PHI,2023-06-13,22664,605200,davieza02
Tanner Bibee,R,CLE,SDP,2023-06-13,4663938,676440,bibeeta01
Joe Musgrove,R,SDP,CLE,2023-06-13,34672,605397,musgrjo01
Yonny Chirinos,R,TBR,OAK,2023-06-13,38039,,
Hogan Harris,L,OAK,TBR,2023-06-13,4267224,663687,harriho03
Lance Lynn,R,CHW,LAD,2023-06-13,11292,458681,lynnla01
Tony Gonsolin,R,LAD,CHW,2023-06-13,935323,664062,gonsoto01
Spencer Strider,R,ATL,DET,2023-06-14,3116717,675911,stridsp01
Reese Olson,R,DET,ATL,2023-06-14,4266773,,
Colin Rea,R,MIL,MIN,2023-06-14,21810,607067,reaco01
Bailey Ober,R,MIN,MIL,2023-06-14,2441077,641927,oberba01
Anthony DeSclafani,R,SFG,STL,2023-06-14,17708,543101,desclan01
Jordan Montgomery,L,STL,SFG,2023-06-14,36606,656756,montgjo01
AJ Smith-Shawver,R,ATL,DET,2023-06-14,4781778,700363,smithaj01
Reese Olson,R,DET,ATL,2023-06-14,4266773,,
Jose Berrios,R,TOR,BAL,2023-06-14,35029,621244,berrijo01
Kyle Bradish,R,BAL,TOR,2023-06-14,2106116,680694,bradiky01
Austin Gomber,L,COL,BOS,2023-06-14,38021,596295,gombeau01
Garrett Whitlock,R,BOS,COL,2023-06-14,2500210,676477,whitlga01
Gerrit Cole,R,NYY,NYM,2023-06-14,15859,543037,colege01
Justin Verlander,R,NYM,NYY,2023-06-14,10908,434378,verlaju01
Osvaldo Bido,R,PIT,CHC,2023-06-14,4831592,674370,
Drew Smyly,L,CHC,PIT,2023-06-14,13432,592767,smylydr01
Reid Detmers,L,LAA,TEX,2023-06-14,2038930,672282,detmere01
Andrew Heaney,L,TEX,LAA,2023-06-14,17566,571760,heanean01
Josiah Gray,R,WAS,HOU,2023-06-14,2039710,680686,grayjo03
Framber Valdez,L,HOU,WAS,2023-06-14,503797,664285,valdefr01
Ben Lively,R,CIN,KCR,2023-06-14,36232,594902,livelbe01
Daniel Lynch,L,KCR,CIN,2023-06-14,2038876,663738,lynchda02
Eury Perez,R,MIA,SEA,2023-06-14,4727031,691587,perezeu02
Luis Castillo,R,SEA,MIA,2023-06-14,15729,622491,castilu02
Ranger Suarez,L,PHI,ARI,2023-06-14,38029,624133,suarera01
Merrill Kelly,R,ARI,PHI,2023-06-14,16363,518876,kellyme01
Aaron Civale,R,CLE,SDP,2023-06-14,1119021,650644,civalaa01
Michael Wacha,R,SDP,CLE,2023-06-14,15848,608379,wachami01
Tyler Glasnow,R,TBR,OAK,2023-06-14,34679,607192,glasnty01
Luis Medina,R,OAK,TBR,2023-06-14,1452199,665622,medinlu02
Mike Clevinger,R,CHW,LAD,2023-06-14,34646,605182,clevimi01
Clayton Kershaw,L,LAD,CHW,2023-06-14,10905,477132,kershcl01
Yusei Kikuchi,L,TOR,BAL,2023-06-15,814189,579328,kikucyu01
Tyler Wells,R,BAL,TOR,2023-06-15,2500250,669330,wellsty01
Taj Bradley,R,TBR,OAK,2023-06-15,4267539,671737,bradlta01
Paul Blackburn,R,OAK,TBR,2023-06-15,36242,621112,blackpa01
Aaron Nola,R,PHI,ARI,2023-06-15,21538,605400,nolaaa01
Ryne Nelson,R,ARI,PHI,2023-06-15,3776185,669194,nelsory01
Matthew Boyd,L,DET,MIN,2023-06-15,18952,571510,boydma01
Sonny Gray,R,MIN,DET,2023-06-15,14979,543243,grayso01
Kyle Freeland,L,COL,ATL,2023-06-15,36592,607536,freelky01
AJ Smith-Shawver,R,ATL,COL,2023-06-15,4781778,700363,smithaj01
Johan Oviedo,R,PIT,CHC,2023-06-15,2040079,670912,oviedjo01
Marcus Stroman,R,CHC,PIT,2023-06-15,16408,573186,stromma01
Shohei Ohtani,R,LAA,TEX,2023-06-15,41843,660271,ohtansh01
Nathan Eovaldi,R,TEX,LAA,2023-06-15,11440,543135,eovalna01
MacKenzie Gore,L,WAS,HOU,2023-06-15,2039965,669022,gorema01
Cristian Javier,R,HOU,WAS,2023-06-15,1452665,664299,javiecr01
Logan Allen,L,CLE,SDP,2023-06-15,4652998,671106,allenlo02
Ryan Weathers,L,SDP,CLE,2023-06-15,2039967,677960,weathry01
Dylan Cease,R,CHW,LAD,2023-06-15,813864,656302,ceasedy01
Michael Grove,R,LAD,CHW,2023-06-15,2039711,675627,grovemi01
Cole Irvin,L,BAL,CHC,2023-06-16,1016169,608344,irvinco01
Kyle Hendricks,R,CHC,BAL,2023-06-16,16517,543294,hendrky01
Sandy Alcantara,R,MIA,WAS,2023-06-16,37550,645261,alcansa01
Trevor Williams,R,WAS,MIA,2023-06-16,35715,592866,willitr01
Domingo German,R,NYY,BOS,2023-06-16,22659,593334,germado01
Tanner Houck,R,BOS,NYY,2023-06-16,2044741,656557,houckta01
Miles Mikolas,R,STL,NYM,2023-06-16,13737,571945,mikolmi01
Tylor Megill,R,NYM,STL,2023-06-16,2949570,656731,megilty01
Dinelson Lamet,R,COL,ATL,2023-06-16,36769,659275,lametdi01
Jared Shuster,L,ATL,COL,2023-06-16,2039403,694363,shustja01
Kevin Gausman,R,TOR,TEX,2023-06-16,15840,592332,gausmke01
Martin Perez,L,TEX,TOR,2023-06-16,13502,527048,perezma02
Tyler Alexander,L,DET,MIN,2023-06-16,1147788,641302,alexaty01
Joe Ryan,R,MIN,DET,2023-06-16,2039186,657746,ryanjo04
Andrew Abbott,L,CIN,HOU,2023-06-16,4793713,671096,abbotan01
J.P. France,R,HOU,CIN,2023-06-16,4266813,641585,francjp01
Rich Hill,L,PIT,MIL,2023-06-16,11187,448179,hillri01
Julio Teheran,R,MIL,PIT,2023-06-16,11191,527054,teherju01
Patrick Sandoval,L,LAA,KCR,2023-06-16,1210009,663776,sandopa02
Brady Singer,R,KCR,LAA,2023-06-16,2038877,663903,singebr01
Triston McKenzie,R,CLE,ARI,2023-06-16,1452000,663474,mckentr01
Zac Gallen,R,ARI,CLE,2023-06-16,1109352,668678,galleza01
Taijuan Walker,R,PHI,OAK,2023-06-16,15266,592836,walketa01
JP Sears,L,OAK,PHI,2023-06-16,3203908,676664,searsjp01
Shane McClanahan,L,TBR,SDP,2023-06-16,2039185,663556,mcclash01
Yu Darvish,R,SDP,TBR,2023-06-16,13412,506433,darviyu01
John Brebbia,R,SFG,LAD,2023-06-16,36795,605154,brebbjo01
Sean Manaea,L,LAD,SFG,2023-06-16,35031,,
Michael Kopech,R,CHW,SEA,2023-06-16,500626,656629,kopecmi01
Bryan Woo,R,SEA,CHW,2023-06-16,4785723,693433,woobr01
Joey Wentz,L,DET,MIN,2023-06-17,2440928,666214,wentzjo01
Jose De Leon,R,MIN,DET,2023-06-17,35711,592254,deleojo03
Kyle Gibson,R,BAL,CHC,2023-06-17,15867,502043,gibsoky01
Justin Steele,L,CHC,BAL,2023-06-17,814426,657006,steelju01
Trevor Richards,R,TOR,TEX,2023-06-17,203494,670950,richatr01
Dane Dunning,R,TEX,TOR,2023-06-17,1451963,641540,dunnida01
Braxton Garrett,L,MIA,WAS,2023-06-17,2039597,666129,garrebr01
Jake Irvin,R,WAS,MIA,2023-06-17,2040132,663623,irvinja01
Cristopher Sanchez,L,PHI,OAK,2023-06-17,1452820,650911,sanchcr01
James Kaprielian,R,OAK,PHI,2023-06-17,814149,621076,kaprija01
Mitch Keller,R,PIT,MIL,2023-06-17,814787,656605,kellemi03
Wade Miley,L,MIL,PIT,2023-06-17,11462,489119,mileywa01
