,Over Bets,Over Win,Over Loss,Over Return,Over ROI,Under Bets,Under Win,Under Loss,Under Return,Under ROI,Total Bets,Total Win,Total Loss,Total Return,Total ROI
2023-05-09,14,6,8,-292.91,-20.92,8,4,4,-76.85,-9.61,22,10,12,-369.76,-16.81
2023-05-10,7,3,4,-109.05,-15.58,15,8,7,-18.08,-1.21,22,11,11,-127.13,-5.78
2023-05-11,3,1,2,-78.0,-26.0,3,2,1,49.53,16.51,6,3,3,-28.47,-4.74
2023-05-12,8,3,5,-238.17,-29.77,6,3,3,-57.9,-9.65,14,6,8,-296.07,-21.15
2023-05-13,9,2,7,-491.66,-54.63,9,5,4,112.43,12.49,18,7,11,-379.23,-21.07
2023-05-14,9,7,2,472.71,52.52,8,3,5,-250.32,-31.29,17,10,7,222.39,13.08
2023-05-15,6,3,3,-17.92,-2.99,6,3,3,11.37,1.89,12,6,6,-6.5500000000000025,-0.55
2023-05-16,7,5,2,295.19,42.17,8,5,3,101.77,12.72,15,10,5,396.96,26.46
2023-05-17,5,2,3,-85.41,-17.08,10,6,4,39.14,3.91,15,8,7,-46.269999999999996,-3.08
2023-05-18,2,1,1,-9.09,-4.54,3,1,2,-86.0,-28.67,5,2,3,-95.09,-19.02
2023-05-19,4,1,3,-180.0,-45.0,12,3,9,-613.37,-51.11,16,4,12,-793.37,-49.59
2023-05-20,5,3,2,99.29,19.86,5,1,4,-301.96,-60.39,10,4,6,-202.66999999999996,-20.27
2023-05-21,7,4,3,89.56,12.79,6,2,4,-218.57,-36.43,13,6,7,-129.01,-9.92
2023-05-22,7,2,5,-320.57,-45.8,6,3,3,-70.9,-11.82,13,5,8,-391.47,-30.11
2023-05-23,6,2,4,-217.64,-36.27,9,4,5,-166.41,-18.49,15,6,9,-384.04999999999995,-25.6
2023-05-24,9,4,5,-119.72,-13.3,9,4,5,-171.51,-19.06,18,8,10,-291.23,-16.18
2023-05-25,6,3,3,20.2,3.37,5,2,3,-105.51,-21.1,11,5,6,-85.31,-7.76
2023-05-26,6,4,2,201.09,33.52,10,8,2,515.46,51.55,16,12,4,716.5500000000001,44.78
2023-05-27,6,1,5,-378.0,-63.0,7,6,1,452.72,64.67,13,7,6,74.72000000000003,5.75
2023-05-28,8,4,4,-80.08,-10.01,10,7,3,262.37,26.24,18,11,7,182.29000000000002,10.13
2023-05-29,3,1,2,-115.25,-38.42,10,5,5,-153.47,-15.35,13,6,7,-268.72,-20.67
2023-05-30,7,1,6,-501.96,-71.71,12,7,5,154.16,12.85,19,8,11,-347.79999999999995,-18.31
2023-05-31,10,6,4,168.43,16.84,9,4,5,-190.91,-21.21,19,10,9,-22.47999999999999,-1.18
2023-06-01,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-02,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-03,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-04,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-05,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-06,10,5,5,-15.23,-1.52,7,2,5,-332.52,-47.5,17,7,10,-347.75,-20.46
2023-06-07,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-06-08,2,1,1,-10.71,-5.36,5,2,3,-133.33,-26.67,7,3,4,-144.04000000000002,-20.58
2023-06-09,10,7,3,264.26,26.43,8,5,3,134.18,16.77,18,12,6,398.44,22.14
2023-06-10,6,5,1,327.51,54.58,14,7,7,-99.29,-7.09,20,12,8,228.21999999999997,11.41
2023-06-11,11,7,4,329.77,29.98,11,8,3,447.31,40.66,22,15,7,777.0799999999999,35.32
2023-06-12,5,3,2,86.12,17.22,6,1,5,-382.0,-63.67,11,4,7,-295.88,-26.9
2023-06-13,8,3,5,-146.0,-18.25,6,3,3,-49.04,-8.17,14,6,8,-195.04,-13.93
2023-06-14,9,6,3,232.68,25.85,11,4,7,-401.35,-36.49,20,10,10,-168.67000000000002,-8.43
2023-06-15,8,4,4,-109.01,-13.63,7,2,5,-350.88,-50.13,15,6,9,-459.89,-30.66
2023-06-16,4,2,2,-41.72,-10.43,12,8,4,220.14,18.34,16,10,6,178.42,11.15
2023-06-17,9,4,5,-164.65,-18.29,6,3,3,-42.53,-7.09,15,7,8,-207.18,-13.81
2023-06-18,4,1,3,-180.0,-45.0,8,2,6,-417.33,-52.17,12,3,9,-597.3299999999999,-49.78
2023-06-19,6,4,2,180.9,30.15,6,1,5,-398.0,-66.33,12,5,7,-217.1,-18.09
2023-06-20,6,2,4,-215.25,-35.88,11,4,7,-347.49,-31.59,17,6,11,-562.74,-33.1
2023-06-21,8,2,6,-475.73,-59.47,9,4,5,-126.55,-14.06,17,6,11,-602.28,-35.43
2023-06-22,3,1,2,-80.0,-26.67,8,4,4,-61.19,-7.65,11,5,6,-141.19,-12.84
2023-06-23,9,5,4,78.92,8.77,12,8,4,350.09,29.17,21,13,8,429.01,20.43
2023-06-24,8,5,3,137.26,17.16,9,5,4,81.16,9.02,17,10,7,218.42,12.85
2023-06-25,12,4,8,-459.56,-38.3,9,2,7,-572.35,-63.59,21,6,15,-1031.91,-49.14
2023-06-26,3,2,1,56.39,18.8,5,3,2,38.84,7.77,8,5,3,95.23,11.9
2023-06-27,7,2,5,-374.92,-53.56,9,6,3,183.98,20.44,16,8,8,-190.94000000000003,-11.93
2023-06-28,8,3,5,-172.0,-21.5,9,2,7,-490.0,-54.44,17,5,12,-662.0,-38.94
2023-06-29,3,3,0,350.59,116.86,4,0,4,-400,-100.0,7,3,4,-49.410000000000025,-7.06
2023-06-30,8,5,3,134.81,16.85,6,2,4,-202.71,-33.79,14,7,7,-67.9,-4.85
2023-07-01,11,6,5,1.35,0.12,8,3,5,-247.58,-30.95,19,9,10,-246.23000000000002,-12.96
2023-07-02,7,4,3,45.99,6.57,9,5,4,86.97,9.66,16,9,7,132.96,8.31
2023-07-03,8,4,4,0.55,0.07,6,4,2,103.99,17.33,14,8,6,104.53999999999999,7.47
2023-07-04,6,2,4,-196.0,-32.67,7,5,2,172.77,24.68,13,7,6,-23.22999999999999,-1.79
2023-07-05,3,2,1,124.0,41.33,10,4,6,-269.9,-26.99,13,6,7,-145.89999999999998,-11.22
2023-07-06,3,2,1,57.58,19.19,9,6,3,218.84,24.32,12,8,4,276.42,23.04
2023-07-07,9,1,8,-688.0,-76.44,10,6,4,95.13,9.51,19,7,12,-592.87,-31.2
2023-07-08,8,2,6,-461.64,-57.7,8,7,1,623.09,77.89,16,9,7,161.45000000000005,10.09
2023-07-09,11,9,2,625.38,56.85,9,2,7,-549.42,-61.05,20,11,9,75.96000000000004,3.8
2023-07-10,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-07-11,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-07-12,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-07-13,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-07-14,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-07-15,8,2,6,-432.42,-54.05,9,7,2,385.13,42.79,17,9,8,-47.29000000000002,-2.78
2023-07-16,13,7,6,42.95,3.3,3,1,2,-130.56,-43.52,16,8,8,-87.61,-5.48
2023-07-17,12,3,9,-632.13,-52.68,12,6,6,-191.67,-15.97,24,9,15,-823.8,-34.33
2023-07-18,11,8,3,412.44,37.49,6,3,3,-28.56,-4.76,17,11,6,383.88,22.58
2023-07-19,13,7,6,25.5,1.96,8,4,4,-87.02,-10.88,21,11,10,-61.519999999999996,-2.93
2023-07-20,4,2,2,-0.71,-0.18,6,3,3,-39.53,-6.59,10,5,5,-40.24,-4.02
2023-07-21,20,12,8,98.24,4.91,24,18,6,1216.78,50.7,44,30,14,1315.02,29.89
2023-07-22,9,6,3,317.2,35.24,6,1,5,-431.51,-71.92,15,7,8,-114.31,-7.62
2023-07-23,8,5,3,169.75,21.22,9,5,4,-8.2,-0.91,17,10,7,161.55,9.5
2023-07-24,3,3,0,247.13,82.38,10,4,6,-235.72,-23.57,13,7,6,11.409999999999997,0.88
2023-07-25,3,3,0,244.84,81.61,13,7,6,-10.61,-0.82,16,10,6,234.23000000000002,14.64
2023-07-26,8,3,5,-223.54,-27.94,11,6,5,36.53,3.32,19,9,10,-187.01,-9.84
2023-07-27,2,0,2,-200,-100.0,1,0,1,-100,-100.0,3,0,3,-300,-100.0
2023-07-28,13,7,6,-15.36,-1.18,7,3,4,-173.17,-24.74,20,10,10,-188.52999999999997,-9.43
2023-07-29,9,1,8,-739.76,-82.2,9,5,4,56.35,6.26,18,6,12,-683.41,-37.97
2023-07-30,9,4,5,-167.24,-18.58,10,5,5,-37.77,-3.78,19,9,10,-205.01000000000002,-10.79
2023-07-31,3,1,2,-92.0,-30.67,7,2,5,-339.75,-48.54,10,3,7,-431.75,-43.18
2023-08-01,8,1,7,-592.0,-74.0,8,4,4,7.76,0.97,16,5,11,-584.24,-36.52
2023-08-02,9,2,7,-509.51,-56.61,8,6,2,377.78,47.22,17,8,9,-131.73000000000002,-7.75
2023-08-03,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-08-04,10,1,9,-798.0,-79.8,11,7,4,145.84,13.26,21,8,13,-652.16,-31.06
2023-08-05,4,3,1,185.4,46.35,9,5,4,-16.22,-1.8,13,8,5,169.18,13.01
2023-08-06,7,3,4,-118.55,-16.94,4,2,2,-43.4,-10.85,11,5,6,-161.95,-14.72
2023-08-07,5,3,2,58.85,11.77,6,2,4,-170.0,-28.33,11,5,6,-111.15,-10.1
2023-08-08,8,6,2,309.15,38.64,9,3,6,-311.25,-34.58,17,9,8,-2.1000000000000227,-0.12
2023-08-09,8,5,3,154.3,19.29,10,7,3,278.35,27.84,18,12,6,432.65000000000003,24.04
2023-08-10,6,4,2,245.37,40.89,3,2,1,92.12,30.71,9,6,3,337.49,37.5
2023-08-11,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-08-12,0,0,0,0.0,,0,0,0,0.0,,0,0,0,0.0,
2023-08-13,8,5,3,210.27,26.28,10,5,5,-96.25,-9.62,18,10,8,114.02000000000001,6.33
2023-08-14,2,0,2,-200,-100.0,4,3,1,164.76,41.19,6,3,3,-35.24000000000001,-5.87
2023-08-15,7,5,2,236.35,33.76,11,7,4,192.15,17.47,18,12,6,428.5,23.81
2023-08-16,6,2,4,-186.0,-31.0,7,4,3,128.91,18.42,13,6,7,-57.09,-4.39
2023-08-17,4,1,3,-196.0,-49.0,4,1,3,-216.67,-54.17,8,2,6,-412.66999999999996,-51.58
2023-08-18,9,5,4,126.75,14.08,12,5,7,-272.78,-22.73,21,10,11,-146.02999999999997,-6.95
2023-08-19,7,4,3,64.16,9.17,9,4,5,-113.69,-12.63,16,8,8,-49.53,-3.1
2023-08-20,3,1,2,-88.0,-29.33,6,3,3,-30.05,-5.01,9,4,5,-118.05,-13.12
