,Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time,SO,IP,win,wager_return
1,Shane Bieber,R,CLE,DET,6.61,6.5,-134.0,0.573,0.49,-0.0829999999999999,106.0,0.485,0.51,0.025,0,1,2023-05-09 18:10:00,9,6.0,False,-100.0
3,Luis Ortiz,R,PIT,COL,4.38,4.5,-146.0,0.593,0.446,-0.1469999999999999,114.0,0.467,0.554,0.087,0,1,2023-05-09 18:35:00,1,5.0,True,114.0
9,Drew Rucinski,R,OAK,NYY,1.96,3.5,106.0,0.485,0.135,-0.35,-134.0,0.573,0.865,0.292,0,1,2023-05-09 19:05:00,2,5.0,True,74.63
12,Charlie Morton,R,ATL,BOS,5.58,5.5,-130.0,0.565,0.485,-0.0799999999999999,104.0,0.49,0.515,0.025,0,1,2023-05-09 19:20:00,7,6.0,False,-100.0
19,Jack Flaherty,R,STL,CHC,4.57,6.5,122.0,0.45,0.178,-0.272,-156.0,0.609,0.822,0.2129999999999999,0,1,2023-05-09 19:40:00,3,5.0,True,64.1
23,Brandon Pfaadt,R,ARI,MIA,3.13,4.5,112.0,0.472,0.207,-0.265,-142.0,0.587,0.793,0.206,0,1,2023-05-09 21:40:00,3,5.0,True,70.42
25,George Kirby,R,SEA,TEX,5.22,6.5,124.0,0.446,0.271,-0.175,-158.0,0.612,0.729,0.1169999999999999,0,1,2023-05-09 21:40:00,9,7.0,False,-100.0
27,Logan Webb,R,SFG,WAS,4.34,5.5,114.0,0.467,0.269,-0.198,-146.0,0.593,0.731,0.138,0,1,2023-05-09 21:45:00,7,7.0,False,-100.0
0,Kyle Muller,L,OAK,NYY,3.17,3.5,-154.0,0.606,0.391,-0.215,120.0,0.455,0.609,0.154,0,1,2023-05-10 12:35:00,6,4.0,False,-100.0
1,Jhony Brito,R,NYY,OAK,2.93,4.5,-116.0,0.537,0.174,-0.363,-110.0,0.524,0.826,0.302,0,1,2023-05-10 12:35:00,3,4.1,True,90.91
2,Antonio Senzatela,R,COL,PIT,2.71,3.5,108.0,0.481,0.287,-0.194,-136.0,0.576,0.713,0.137,0,1,2023-05-10 12:35:00,1,2.2,True,73.53
3,Rich Hill,L,PIT,COL,4.32,5.5,108.0,0.481,0.267,-0.214,-136.0,0.576,0.733,0.157,0,1,2023-05-10 12:35:00,4,3.2,True,73.53
4,Eduardo Rodriguez,L,DET,CLE,4.11,5.5,114.0,0.467,0.232,-0.235,-144.0,0.59,0.768,0.178,0,1,2023-05-10 13:10:00,8,7.0,False,-100.0
6,Clayton Kershaw,L,LAD,MIL,6.76,7.5,-138.0,0.58,0.366,-0.214,108.0,0.481,0.634,0.153,0,1,2023-05-10 13:40:00,8,7.0,False,-100.0
7,Wade Miley,L,MIL,LAD,3.78,4.5,136.0,0.424,0.328,-0.096,-174.0,0.635,0.672,0.037,0,1,2023-05-10 13:40:00,3,5.0,True,57.47
8,Edward Cabrera,R,MIA,ARI,4.94,5.5,116.0,0.463,0.374,-0.089,-148.0,0.597,0.626,0.029,0,1,2023-05-10 15:40:00,5,3.1,True,67.57
10,Luis Castillo,R,SEA,TEX,6.78,6.5,-154.0,0.606,0.516,-0.09,120.0,0.455,0.484,0.029,0,1,2023-05-10 15:40:00,9,5.0,False,-100.0
12,Sean Manaea,L,SFG,WAS,4.5,4.5,-154.0,0.606,0.467,-0.139,120.0,0.455,0.533,0.078,0,1,2023-05-10 15:45:00,4,2.2,True,120.0
14,Zack Wheeler,R,PHI,TOR,5.78,6.5,-108.0,0.519,0.359,-0.16,-118.0,0.541,0.641,0.1,0,1,2023-05-10 16:05:00,7,7.0,False,-100.0
16,Griffin Canning,R,LAA,HOU,4.28,4.5,-138.0,0.58,0.425,-0.155,108.0,0.481,0.575,0.094,0,1,2023-05-10 16:07:00,3,3.2,True,108.0
18,Justin Verlander,R,CIN,NYM,5.86,6.5,102.0,0.495,0.371,-0.124,-130.0,0.565,0.629,0.064,0,1,2023-05-10 18:40:00,7,7.0,False,-100.0
20,Brayan Bello,R,ATL,BOS,4.36,4.5,-108.0,0.519,0.441,-0.078,-116.0,0.537,0.559,0.022,0,1,2023-05-10 19:20:00,5,6.0,False,-100.0
21,Jordan Montgomery,L,CHC,STL,4.74,5.5,-116.0,0.537,0.338,-0.199,-110.0,0.524,0.662,0.138,0,1,2023-05-10 19:40:00,3,5.0,True,90.91
3,Mike Clevinger,R,KCR,CHW,4.21,4.5,-116.0,0.537,0.411,-0.126,-112.0,0.528,0.589,0.061,0,1,2023-05-11 14:10:00,2,6.0,True,89.29
5,Drew Rasmussen,R,NYY,TBR,4.63,4.5,-148.0,0.597,0.492,-0.105,116.0,0.463,0.508,0.045,0,1,2023-05-11 19:05:00,7,7.0,False,-100.0
6,Domingo German,R,SFG,ARI,4.34,5.5,130.0,0.435,0.27,-0.165,-166.0,0.624,0.73,0.106,0,1,2023-05-11 19:05:00,3,5.2,True,60.24
1,Marco Gonzales,L,SEA,DET,3.64,4.5,120.0,0.455,0.301,-0.154,-152.0,0.603,0.699,0.096,0,1,2023-05-12 18:40:00,2,6.0,True,65.79
5,Kyle Bradish,R,BAL,PIT,4.45,4.5,-144.0,0.59,0.459,-0.131,112.0,0.472,0.541,0.069,0,1,2023-05-12 19:05:00,6,6.0,False,-100.0
14,Drew Smyly,L,MIN,CHC,4.16,4.5,-122.0,0.55,0.402,-0.148,-106.0,0.515,0.598,0.083,0,1,2023-05-12 20:10:00,4,6.0,True,94.34
15,Sonny Gray,R,PHI,COL,5.39,6.5,120.0,0.455,0.298,-0.157,-152.0,0.603,0.702,0.099,0,1,2023-05-12 20:10:00,9,5.1,False,-100.0
17,Austin Gomber,L,SFG,ARI,3.12,3.5,-116.0,0.537,0.379,-0.158,-110.0,0.524,0.621,0.097,0,1,2023-05-12 20:40:00,6,6.2,False,-100.0
19,Ken Waldichuk,L,LAD,SDP,4.81,5.5,-106.0,0.515,0.351,-0.164,-122.0,0.55,0.649,0.099,0,1,2023-05-12 21:40:00,5,5.0,True,81.97
5,Joe Ryan,R,MIN,CHC,5.67,7.5,118.0,0.459,0.212,-0.247,-150.0,0.6,0.788,0.188,0,1,2023-05-13 14:10:00,10,6.0,False,-100.0
7,Jose Berrios,R,TOR,ATL,5.1,5.5,104.0,0.49,0.402,-0.088,-132.0,0.569,0.598,0.029,0,1,2023-05-13 15:07:00,3,5.2,True,75.76
8,Joey Lucchesi,L,NYM,WAS,3.49,3.5,-146.0,0.593,0.461,-0.132,114.0,0.467,0.539,0.072,0,1,2023-05-13 16:05:00,0,2.0,True,114.0
12,Chris Sale,L,BOS,STL,5.19,6.5,114.0,0.467,0.266,-0.201,-146.0,0.593,0.734,0.141,0,1,2023-05-13 16:10:00,9,8.0,False,-100.0
13,Reid Detmers,L,LAA,CLE,4.55,5.5,118.0,0.459,0.306,-0.153,-150.0,0.6,0.694,0.094,0,1,2023-05-13 18:10:00,3,5.0,True,66.67
14,Cal Quantrill,R,CLE,LAA,3.69,3.5,-156.0,0.609,0.503,-0.106,122.0,0.45,0.497,0.047,0,1,2023-05-13 18:10:00,2,6.0,True,122.0
16,Tyler Wells,R,BAL,PIT,3.63,4.5,-150.0,0.6,0.3,-0.3,118.0,0.459,0.7,0.241,0,1,2023-05-13 19:05:00,8,7.0,False,-100.0
17,Zack Greinke,R,KCR,MIL,3.14,3.5,-108.0,0.519,0.385,-0.134,-118.0,0.541,0.615,0.074,0,1,2023-05-13 19:10:00,5,5.0,False,-100.0
18,Adrian Houser,R,MIL,KCR,3.45,3.5,-172.0,0.632,0.452,-0.18,134.0,0.427,0.548,0.121,0,1,2023-05-13 19:10:00,2,4.0,True,134.0
1,Tanner Bibee,R,CLE,LAA,4.77,5.5,-108.0,0.519,0.343,-0.176,-118.0,0.541,0.657,0.116,0,1,2023-05-14 11:35:00,7,7.2,False,-100.0
3,Clarke Schmidt,R,NYY,TBR,4.9,5.5,-102.0,0.505,0.367,-0.138,-124.0,0.554,0.633,0.079,0,1,2023-05-14 13:35:00,5,4.2,True,80.65
5,Kyle Gibson,R,BAL,PIT,4.47,4.5,-128.0,0.561,0.462,-0.099,100.0,0.5,0.538,0.038,0,1,2023-05-14 13:35:00,5,5.0,False,-100.0
8,Joey Wentz,L,DET,SEA,4.42,4.5,-116.0,0.537,0.453,-0.084,-110.0,0.524,0.547,0.023,0,1,2023-05-14 13:40:00,3,2.2,True,90.91
12,Louie Varland,R,MIN,CHC,5.08,5.5,104.0,0.49,0.398,-0.092,-134.0,0.573,0.602,0.029,0,1,2023-05-14 14:10:00,7,6.1,False,-100.0
14,Hunter Brown,R,HOU,CHW,4.76,4.5,-150.0,0.6,0.517,-0.083,118.0,0.459,0.483,0.024,0,1,2023-05-14 14:10:00,8,5.2,False,-100.0
20,Logan Webb,R,SFG,ARI,4.79,5.5,100.0,0.5,0.347,-0.153,-128.0,0.561,0.653,0.092,0,1,2023-05-14 16:10:00,3,7.0,True,78.12
21,Brandon Pfaadt,R,ARI,SFG,3.34,4.5,-120.0,0.545,0.245,-0.3,-106.0,0.515,0.755,0.24,0,1,2023-05-14 16:10:00,5,5.0,False,-100.0
1,Patrick Corbin,L,WAS,NYM,3.6,3.5,-152.0,0.603,0.484,-0.119,120.0,0.455,0.516,0.061,0,1,2023-05-15 16:05:00,1,6.0,True,120.0
7,Freddy Peralta,R,MIL,STL,5.14,5.5,-142.0,0.587,0.409,-0.178,112.0,0.472,0.591,0.119,0,1,2023-05-15 19:45:00,4,5.1,True,112.0
8,Jack Flaherty,R,STL,MIL,4.89,5.5,102.0,0.495,0.365,-0.13,-128.0,0.561,0.635,0.074,0,1,2023-05-15 19:45:00,10,7.0,False,-100.0
11,Framber Valdez,L,HOU,CHC,4.65,6.5,-128.0,0.561,0.189,-0.372,102.0,0.495,0.811,0.316,0,1,2023-05-15 20:10:00,8,4.0,False,-100.0
16,Merrill Kelly,R,ARI,OAK,5.89,6.5,112.0,0.472,0.375,-0.097,-142.0,0.587,0.625,0.038,0,1,2023-05-15 21:40:00,9,7.0,False,-100.0
17,Drew Rucinski,R,OAK,ARI,1.73,3.5,-102.0,0.505,0.098,-0.407,-126.0,0.558,0.902,0.344,0,1,2023-05-15 21:40:00,0,3.2,True,79.37
0,Dean Kremer,R,BAL,LAA,3.89,4.5,106.0,0.485,0.35,-0.135,-134.0,0.573,0.65,0.077,0,1,2023-05-16 18:35:00,4,5.2,True,74.63
1,Luis Ortiz,R,PIT,DET,3.86,4.5,110.0,0.476,0.343,-0.133,-140.0,0.583,0.657,0.074,0,1,2023-05-16 18:40:00,3,3.0,True,71.43
4,Jesus Luzardo,L,MIA,WAS,5.3,5.5,-132.0,0.569,0.437,-0.132,104.0,0.49,0.563,0.073,0,1,2023-05-16 18:40:00,7,6.0,False,-100.0
5,Domingo German,R,NYY,TOR,4.4,4.5,-154.0,0.606,0.449,-0.157,122.0,0.45,0.551,0.101,0,1,2023-05-16 19:07:00,2,3.0,True,122.0
6,Kevin Gausman,R,TOR,NYY,6.71,7.5,120.0,0.455,0.358,-0.097,-154.0,0.606,0.642,0.036,0,1,2023-05-16 19:07:00,10,7.0,False,-100.0
10,Jordan Montgomery,L,STL,MIL,5.46,5.5,-152.0,0.603,0.464,-0.139,120.0,0.455,0.536,0.081,0,1,2023-05-16 19:45:00,7,5.1,False,-100.0
15,Seth Lugo,R,SDP,KCR,5.01,5.5,112.0,0.472,0.385,-0.087,-142.0,0.587,0.615,0.028,0,1,2023-05-16 21:40:00,2,2.0,True,70.42
16,Kyle Muller,L,OAK,ARI,3.07,4.5,124.0,0.446,0.197,-0.249,-158.0,0.612,0.803,0.191,0,1,2023-05-16 21:40:00,3,4.0,True,63.29
0,Rich Hill,L,PIT,DET,4.53,4.5,-160.0,0.615,0.473,-0.142,126.0,0.442,0.527,0.085,0,1,2023-05-17 13:10:00,7,6.0,False,-100.0
1,Eduardo Rodriguez,L,DET,PIT,4.81,5.5,-118.0,0.541,0.35,-0.191,-108.0,0.519,0.65,0.131,0,1,2023-05-17 13:10:00,5,5.0,True,92.59
4,Dustin May,R,LAD,MIN,4.82,5.5,124.0,0.446,0.353,-0.093,-158.0,0.612,0.647,0.035,0,1,2023-05-17 15:10:00,2,1.0,True,63.29
5,Ryne Nelson,R,ARI,OAK,4.15,4.5,-132.0,0.569,0.4,-0.169,104.0,0.49,0.6,0.11,0,1,2023-05-17 15:37:00,6,5.1,False,-100.0
8,Griffin Canning,R,LAA,BAL,4.04,4.5,118.0,0.459,0.378,-0.081,-150.0,0.6,0.622,0.022,0,1,2023-05-17 18:35:00,4,5.1,True,66.67
9,Kyle Bradish,R,BAL,LAA,4.4,5.5,-102.0,0.505,0.281,-0.224,-126.0,0.558,0.719,0.161,0,1,2023-05-17 18:35:00,5,6.2,True,79.37
11,Edward Cabrera,R,MIA,WAS,4.7,5.5,-108.0,0.519,0.332,-0.187,-118.0,0.541,0.668,0.127,0,1,2023-05-17 18:40:00,6,5.0,False,-100.0
14,Marco Gonzales,L,SEA,BOS,2.93,3.5,110.0,0.476,0.336,-0.14,-140.0,0.583,0.664,0.081,0,1,2023-05-17 19:10:00,1,1.2,True,71.43
17,Nathan Eovaldi,R,TEX,ATL,5.84,6.5,120.0,0.455,0.367,-0.088,-152.0,0.603,0.633,0.03,0,1,2023-05-17 20:05:00,5,7.0,True,65.79
18,Mike Clevinger,R,CHW,CLE,3.73,4.5,-130.0,0.565,0.318,-0.247,102.0,0.495,0.682,0.187,0,1,2023-05-17 20:10:00,5,6.0,False,-100.0
1,Tyler Wells,R,BAL,LAA,3.67,5.5,-116.0,0.537,0.165,-0.372,-110.0,0.524,0.835,0.311,0,1,2023-05-18 12:35:00,7,5.0,False,-100.0
3,Tylor Megill,R,NYM,TBR,4.71,4.5,-144.0,0.59,0.507,-0.083,114.0,0.467,0.493,0.026,0,1,2023-05-18 13:10:00,4,6.0,True,114.0
6,Jose Berrios,R,TOR,NYY,4.69,5.5,108.0,0.481,0.33,-0.151,-138.0,0.58,0.67,0.09,0,1,2023-05-18 19:07:00,8,6.2,False,-100.0
2,Clarke Schmidt,R,NYY,CIN,5.43,5.5,-126.0,0.558,0.46,-0.098,-102.0,0.505,0.54,0.035,0,1,2023-05-19 18:40:00,6,5.0,False,-100.0
3,Adrian Houser,R,MIL,TBR,3.24,3.5,-108.0,0.519,0.406,-0.113,-118.0,0.541,0.594,0.053,0,1,2023-05-19 18:40:00,4,6.0,False,-100.0
4,Shane McClanahan,L,TBR,MIL,7.6,7.5,-138.0,0.58,0.489,-0.091,108.0,0.481,0.511,0.03,0,1,2023-05-19 18:40:00,7,7.0,True,108.0
6,Ranger Suarez,L,PHI,CHC,4.5,4.5,-130.0,0.565,0.467,-0.098,104.0,0.49,0.533,0.043,0,1,2023-05-19 19:05:00,4,2.0,True,104.0
9,Cal Quantrill,R,CLE,NYM,3.29,3.5,-102.0,0.505,0.418,-0.087,-124.0,0.554,0.582,0.028,0,1,2023-05-19 19:10:00,6,5.2,False,-100.0
13,Zack Greinke,R,KCR,CHW,2.93,3.5,124.0,0.446,0.337,-0.109,-158.0,0.612,0.663,0.051,0,1,2023-05-19 20:10:00,4,5.2,False,-100.0
14,Michael Kopech,R,CHW,KCR,4.65,5.5,-122.0,0.55,0.322,-0.228,-102.0,0.505,0.678,0.173,0,1,2023-05-19 20:10:00,10,8.0,False,-100.0
16,Brandon Bielak,R,HOU,OAK,4.37,4.5,-140.0,0.583,0.444,-0.139,110.0,0.476,0.556,0.08,0,1,2023-05-19 20:10:00,9,5.0,False,-100.0
19,Joe Ryan,R,MIN,LAA,5.73,6.5,-116.0,0.537,0.351,-0.186,-110.0,0.524,0.649,0.125,0,1,2023-05-19 21:38:00,9,6.0,False,-100.0
20,Reid Detmers,L,LAA,MIN,5.67,5.5,-150.0,0.6,0.5,-0.1,118.0,0.459,0.5,0.041,0,1,2023-05-19 21:38:00,12,5.2,False,-100.0
23,Sandy Alcantara,R,MIA,SFG,4.86,6.5,106.0,0.485,0.217,-0.268,-134.0,0.573,0.783,0.21,0,1,2023-05-19 22:15:00,5,5.2,True,74.63
24,Anthony DeSclafani,R,SFG,MIA,4.09,4.5,-116.0,0.537,0.388,-0.149,-110.0,0.524,0.612,0.088,0,1,2023-05-19 22:15:00,6,5.1,False,-100.0
1,Lucas Giolito,R,CHW,KCR,6.34,6.5,-126.0,0.558,0.449,-0.109,-102.0,0.505,0.551,0.046,0,1,2023-05-20 14:10:00,4,6.0,True,98.04
3,Mitch Keller,R,PIT,ARI,4.82,5.5,-110.0,0.524,0.353,-0.171,-116.0,0.537,0.647,0.11,0,1,2023-05-20 16:05:00,8,6.0,False,-100.0
8,Alex Faedo,R,DET,WAS,3.12,3.5,-106.0,0.515,0.379,-0.136,-120.0,0.545,0.621,0.076,0,1,2023-05-20 16:05:00,4,5.0,False,-100.0
11,Jon Gray,R,TEX,COL,5.27,5.5,-156.0,0.609,0.431,-0.178,124.0,0.446,0.569,0.123,0,1,2023-05-20 16:05:00,6,5.0,False,-100.0
13,Hunter Brown,R,HOU,OAK,5.47,6.5,-122.0,0.55,0.309,-0.241,-104.0,0.51,0.691,0.181,0,1,2023-05-20 16:10:00,9,6.0,False,-100.0
2,Joey Wentz,L,DET,WAS,3.17,4.5,110.0,0.476,0.215,-0.261,-140.0,0.583,0.785,0.202,0,1,2023-05-21 13:35:00,1,2.0,True,71.43
4,Justin Steele,L,CHC,PHI,5.51,5.5,-124.0,0.554,0.472,-0.082,-102.0,0.505,0.528,0.023,0,1,2023-05-21 13:35:00,6,6.0,False,-100.0
9,Dean Kremer,R,BAL,TOR,3.78,4.5,132.0,0.431,0.329,-0.102,-168.0,0.627,0.671,0.044,0,1,2023-05-21 13:37:00,7,5.1,False,-100.0
12,Freddy Peralta,R,MIL,TBR,5.3,5.5,-140.0,0.583,0.436,-0.147,110.0,0.476,0.564,0.088,0,1,2023-05-21 13:40:00,4,6.0,True,110.0
13,James Kaprielian,R,OAK,HOU,3.89,4.5,132.0,0.431,0.349,-0.082,-168.0,0.627,0.651,0.024,0,1,2023-05-21 14:10:00,5,5.0,False,-100.0
21,Pablo Lopez,R,MIN,LAA,5.72,7.5,114.0,0.467,0.218,-0.249,-146.0,0.593,0.782,0.189,0,1,2023-05-21 16:07:00,9,6.0,False,-100.0
1,Luis Ortiz,R,PIT,TEX,3.55,4.5,134.0,0.427,0.284,-0.143,-172.0,0.632,0.716,0.084,0,1,2023-05-22 18:35:00,4,7.2,True,58.14
2,Tommy Henry,L,ARI,PHI,3.68,4.5,134.0,0.427,0.309,-0.118,-172.0,0.632,0.691,0.059,0,1,2023-05-22 18:40:00,5,5.2,False,-100.0
3,Zack Wheeler,R,PHI,ARI,5.7,6.5,-108.0,0.519,0.346,-0.173,-118.0,0.541,0.654,0.113,0,1,2023-05-22 18:40:00,3,6.0,True,84.75
13,Tanner Houck,R,BOS,LAA,4.3,4.5,-130.0,0.565,0.429,-0.136,102.0,0.495,0.571,0.076,0,1,2023-05-22 21:38:00,8,6.0,False,-100.0
14,Kyle Muller,L,OAK,SEA,3.99,4.5,-110.0,0.524,0.369,-0.155,-116.0,0.537,0.631,0.094,0,1,2023-05-22 21:40:00,3,5.0,True,86.21
15,Luis Castillo,R,SEA,OAK,7.23,7.5,-132.0,0.569,0.435,-0.134,104.0,0.49,0.565,0.075,0,1,2023-05-22 21:40:00,8,6.0,False,-100.0
1,Nathan Eovaldi,R,TEX,PIT,5.56,5.5,-156.0,0.609,0.481,-0.128,124.0,0.446,0.519,0.073,0,1,2023-05-23 18:35:00,5,9.0,True,124.0
2,Rich Hill,L,PIT,TEX,4.4,4.5,-140.0,0.583,0.449,-0.134,110.0,0.476,0.551,0.075,0,1,2023-05-23 18:35:00,9,5.1,False,-100.0
4,Graham Ashcraft,R,CIN,STL,3.58,3.5,-160.0,0.615,0.48,-0.135,126.0,0.442,0.52,0.078,0,1,2023-05-23 18:40:00,5,5.0,False,-100.0
8,Kyle Bradish,R,BAL,NYY,4.61,5.5,126.0,0.442,0.317,-0.125,-160.0,0.615,0.683,0.068,0,1,2023-05-23 19:05:00,3,5.0,True,62.5
13,Drew Smyly,L,CHC,NYM,3.84,4.5,-104.0,0.51,0.341,-0.169,-122.0,0.55,0.659,0.109,0,1,2023-05-23 19:40:00,5,5.0,False,-100.0
16,Sonny Gray,R,MIN,SFG,6.04,6.5,104.0,0.49,0.4,-0.09,-134.0,0.573,0.6,0.027,0,1,2023-05-23 19:40:00,6,5.0,True,74.63
18,Brayan Bello,R,BOS,LAA,5.01,5.5,108.0,0.481,0.386,-0.095,-138.0,0.58,0.614,0.034,0,1,2023-05-23 21:38:00,6,7.0,False,-100.0
19,Griffin Canning,R,LAA,BOS,3.76,4.5,100.0,0.5,0.325,-0.175,-128.0,0.561,0.675,0.114,0,1,2023-05-23 21:38:00,5,7.0,False,-100.0
20,Marco Gonzales,L,SEA,OAK,3.54,4.5,108.0,0.481,0.282,-0.199,-138.0,0.58,0.718,0.138,0,1,2023-05-23 21:40:00,4,6.0,True,72.46
3,Ranger Suarez,L,PHI,ARI,3.93,4.5,118.0,0.459,0.358,-0.101,-150.0,0.6,0.642,0.042,0,1,2023-05-24 13:05:00,5,5.0,False,-100.0
4,Michael Kopech,R,CHW,CLE,3.86,4.5,-110.0,0.524,0.344,-0.18,-116.0,0.537,0.656,0.119,0,1,2023-05-24 13:10:00,9,7.0,False,-100.0
5,Cal Quantrill,R,CLE,CHW,3.76,4.5,112.0,0.472,0.323,-0.149,-142.0,0.587,0.677,0.09,0,1,2023-05-24 13:10:00,2,4.0,True,70.42
6,Anthony DeSclafani,R,SFG,MIN,4.73,5.5,120.0,0.455,0.337,-0.118,-152.0,0.603,0.663,0.06,0,1,2023-05-24 13:10:00,6,5.0,False,-100.0
9,Adrian Houser,R,MIL,HOU,3.14,3.5,104.0,0.49,0.385,-0.105,-134.0,0.573,0.615,0.042,0,1,2023-05-24 13:10:00,3,5.1,True,74.63
14,Tyler Wells,R,BAL,NYY,3.89,4.5,-134.0,0.573,0.351,-0.222,106.0,0.485,0.649,0.164,0,1,2023-05-24 19:05:00,8,5.0,False,-100.0
15,Nestor Cortes,L,NYY,BAL,5.33,5.5,-144.0,0.59,0.441,-0.149,114.0,0.467,0.559,0.092,0,1,2023-05-24 19:05:00,5,6.0,True,114.0
18,Zack Greinke,R,KCR,DET,3.18,3.5,-102.0,0.505,0.394,-0.111,-124.0,0.554,0.606,0.052,0,1,2023-05-24 19:40:00,5,5.0,False,-100.0
